Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4694585922.973
1,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,2.528584113257
2,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,7.403594325383
3,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.3396515314233
4,j0p0PSFB: phase flight time,315621.8600124,86400000,5022642.890913,34400347.51914
5,j0p0PSFBEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,1125.474533902
6,j0p0PSFBEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-0.6005353023888
7,j0p0PSFBEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,0.8259669599225
8,j0p0PSFBEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,1.217468292297
9,j0p0PSFB: virtual chemical fuel,0,5000,5000,0.0004638162142193
10,j0p0PSFB: virtual electric propellant,0,5000,5000,74.94553485614
11,j0p0PSFB_Step0: left state r,20000000,747989353500,149597870.691,151284409.3178
12,j0p0PSFB_Step0: left state RA,-25.13274122872,25.13274122872,1,-0.4891908218095
13,j0p0PSFB_Step0: left state DEC,-1.570796326795,1.570796326795,1,-0.2009762914688
14,j0p0PSFB_Step0: left state v,0,297.8469183259,29.78469183259,31.96209420582
15,j0p0PSFB_Step0: left state vRA,-25.13274122872,25.13274122872,1,1.028049088996
16,j0p0PSFB_Step0: left state vDEC,-25.13274122872,25.13274122872,1,0.3528708952361
17,j0p0PSFB_Step0: left state mass,1e-13,5000,5000,1200.420051666
18,j0p0PSFB_Step0: virtual chemical fuel,0,5000,5000,3.842093852576e-05
19,j0p0PSFB_Step0: virtual electric propellant,0,5000,5000,1.666746814103e-05
20,j0p0PSFB_Step0: substep0 u_x,-1,1,1,0.2812338736399
21,j0p0PSFB_Step0: substep0 u_y,-1,1,1,0.8904235008101
22,j0p0PSFB_Step0: substep0 u_z,-1,1,1,0.3555158720791
23,j0p0PSFB_Step1: left state r,20000000,747989353500,149597870.691,151628184.2841
24,j0p0PSFB_Step1: left state RA,-25.13274122872,25.13274122872,1,-0.1479424959651
25,j0p0PSFB_Step1: left state DEC,-1.570796326795,1.570796326795,1,-0.06482307266362
26,j0p0PSFB_Step1: left state v,0,297.8469183259,29.78469183259,32.01985375166
27,j0p0PSFB_Step1: left state vRA,-25.13274122872,25.13274122872,1,1.359902859993
28,j0p0PSFB_Step1: left state vDEC,-25.13274122872,25.13274122872,1,0.398460755854
29,j0p0PSFB_Step1: left state mass,1e-13,5000,5000,1195.529414698
30,j0p0PSFB_Step1: virtual chemical fuel,0,5000,5000,7.513627929413e-05
31,j0p0PSFB_Step1: virtual electric propellant,0,5000,5000,4.890653652493
32,j0p0PSFB_Step1: substep0 u_x,-1,1,1,-0.003622947870531
33,j0p0PSFB_Step1: substep0 u_y,-1,1,1,0.9227598057825
34,j0p0PSFB_Step1: substep0 u_z,-1,1,1,0.3831398569966
35,j0p0PSFB_Step2: left state r,20000000,747989353500,149597870.691,154833694.6592
36,j0p0PSFB_Step2: left state RA,-25.13274122872,25.13274122872,1,0.1807135001027
37,j0p0PSFB_Step2: left state DEC,-1.570796326795,1.570796326795,1,0.07587559141685
38,j0p0PSFB_Step2: left state v,0,297.8469183259,29.78469183259,31.57053769
39,j0p0PSFB_Step2: left state vRA,-25.13274122872,25.13274122872,1,1.692427052736
40,j0p0PSFB_Step2: left state vDEC,-25.13274122872,25.13274122872,1,0.4042003554955
41,j0p0PSFB_Step2: left state mass,1e-13,5000,5000,1190.638618538
42,j0p0PSFB_Step2: virtual chemical fuel,0,5000,5000,0.000110319354082
43,j0p0PSFB_Step2: virtual electric propellant,0,5000,5000,9.781449829615
44,j0p0PSFB_Step2: substep0 u_x,-1,1,1,-0.2711535880576
45,j0p0PSFB_Step2: substep0 u_y,-1,1,1,0.8842302013898
46,j0p0PSFB_Step2: substep0 u_z,-1,1,1,0.3780700459183
47,j0p0PSFB_Step3: left state r,20000000,747989353500,149597870.691,160558297.8635
48,j0p0PSFB_Step3: left state RA,-25.13274122872,25.13274122872,1,0.4981785480295
49,j0p0PSFB_Step3: left state DEC,-1.570796326795,1.570796326795,1,0.2017928555908
50,j0p0PSFB_Step3: left state v,0,297.8469183259,29.78469183259,30.71035966259
51,j0p0PSFB_Step3: left state vRA,-25.13274122872,25.13274122872,1,2.008026534147
52,j0p0PSFB_Step3: left state vDEC,-25.13274122872,25.13274122872,1,6.655760350517
53,j0p0PSFB_Step3: left state mass,1e-13,5000,5000,1185.747866335
54,j0p0PSFB_Step3: virtual chemical fuel,0,5000,5000,0.000144047659892
55,j0p0PSFB_Step3: virtual electric propellant,0,5000,5000,14.67220205056
56,j0p0PSFB_Step3: substep0 u_x,-1,1,1,-0.504583813676
57,j0p0PSFB_Step3: substep0 u_y,-1,1,1,0.7902647575317
58,j0p0PSFB_Step3: substep0 u_z,-1,1,1,0.3451848084319
59,j0p0PSFB_Step4: left state r,20000000,747989353500,149597870.691,168164825.8845
60,j0p0PSFB_Step4: left state RA,-25.13274122872,25.13274122872,1,0.8047424383112
61,j0p0PSFB_Step4: left state DEC,-1.570796326795,1.570796326795,1,0.3000938584774
62,j0p0PSFB_Step4: left state v,0,297.8469183259,29.78469183259,29.59203734202
63,j0p0PSFB_Step4: left state vRA,-25.13274122872,25.13274122872,1,2.295923463968
64,j0p0PSFB_Step4: left state vDEC,-25.13274122872,25.13274122872,1,0.3127269368849
65,j0p0PSFB_Step4: left state mass,1e-13,5000,5000,1180.857286833
66,j0p0PSFB_Step4: virtual chemical fuel,0,5000,5000,0.0001763515066708
67,j0p0PSFB_Step4: virtual electric propellant,0,5000,5000,19.56278157174
68,j0p0PSFB_Step4: substep0 u_x,-1,1,1,-0.6910375095737
69,j0p0PSFB_Step4: substep0 u_y,-1,1,1,0.6575357377682
70,j0p0PSFB_Step4: substep0 u_z,-1,1,1,0.2970148239504
71,j0p0PSFB_Step5: left state r,20000000,747989353500,149597870.691,176931412.3367
72,j0p0PSFB_Step5: left state RA,-25.13274122872,25.13274122872,1,1.097986520385
73,j0p0PSFB_Step5: left state DEC,-1.570796326795,1.570796326795,1,0.3656446702143
74,j0p0PSFB_Step5: left state v,0,297.8469183259,29.78469183259,28.36471992126
75,j0p0PSFB_Step5: left state vRA,-25.13274122872,25.13274122872,1,2.554480473023
76,j0p0PSFB_Step5: left state vDEC,-25.13274122872,25.13274122872,1,0.235422325566
77,j0p0PSFB_Step5: left state mass,1e-13,5000,5000,1175.966988475
78,j0p0PSFB_Step5: virtual chemical fuel,0,5000,5000,0.00020723287705
79,j0p0PSFB_Step5: virtual electric propellant,0,5000,5000,24.45307994904
80,j0p0PSFB_Step5: substep0 u_x,-1,1,1,-0.8253090777616
81,j0p0PSFB_Step5: substep0 u_y,-1,1,1,0.507212196145
82,j0p0PSFB_Step5: substep0 u_z,-1,1,1,0.2440230688301
83,j0p0PSFB_Step6: left state r,20000000,747989353500,149597870.691,186205484.8903
84,j0p0PSFB_Step6: left state RA,-25.13274122872,25.13274122872,1,1.373821753583
85,j0p0PSFB_Step6: left state DEC,-1.570796326795,1.570796326795,1,0.399487658416
86,j0p0PSFB_Step6: left state v,0,297.8469183259,29.78469183259,27.14076435993
87,j0p0PSFB_Step6: left state vRA,-25.13274122872,25.13274122872,1,2.787838067156
88,j0p0PSFB_Step6: left state vDEC,-25.13274122872,25.13274122872,1,0.1496043270963
89,j0p0PSFB_Step6: left state mass,1e-13,5000,5000,1171.077094862
90,j0p0PSFB_Step6: virtual chemical fuel,0,5000,5000,0.000236674258261
91,j0p0PSFB_Step6: virtual electric propellant,0,5000,5000,29.3429735821
92,j0p0PSFB_Step6: substep0 u_x,-1,1,1,-0.9127104126652
93,j0p0PSFB_Step6: substep0 u_y,-1,1,1,0.3565114705873
94,j0p0PSFB_Step6: substep0 u_z,-1,1,1,0.1939776904012
95,j0p0PSFB_Step7: left state r,20000000,747989353500,149597870.691,195469998.0994
96,j0p0PSFB_Step7: left state RA,-25.13274122872,25.13274122872,1,1.628685156023
97,j0p0PSFB_Step7: left state DEC,-1.570796326795,1.570796326795,1,0.406284784288
98,j0p0PSFB_Step7: left state v,0,297.8469183259,29.78469183259,25.99098113528
99,j0p0PSFB_Step7: left state vRA,-25.13274122872,25.13274122872,1,3.002081029678
100,j0p0PSFB_Step7: left state vDEC,-25.13274122872,25.13274122872,1,0.06158107569899
101,j0p0PSFB_Step7: left state mass,1e-13,5000,5000,1166.187761409
102,j0p0PSFB_Step7: virtual chemical fuel,0,5000,5000,0.0002646432991036
103,j0p0PSFB_Step7: virtual electric propellant,0,5000,5000,34.23230705524
104,j0p0PSFB_Step7: substep0 u_x,-1,1,1,-0.9634961448863
105,j0p0PSFB_Step7: substep0 u_y,-1,1,1,0.2144982575025
106,j0p0PSFB_Step7: substep0 u_z,-1,1,1,0.152456799318
107,j0p0PSFB_Step8: left state r,20000000,747989353500,149597870.691,204347950.4624
108,j0p0PSFB_Step8: left state RA,-25.13274122872,25.13274122872,1,1.86109801326
109,j0p0PSFB_Step8: left state DEC,-1.570796326795,1.570796326795,1,0.3919621481352
110,j0p0PSFB_Step8: left state v,0,297.8469183259,29.78469183259,24.953635786
111,j0p0PSFB_Step8: left state vRA,-25.13274122872,25.13274122872,1,3.203125919439
112,j0p0PSFB_Step8: left state vDEC,-25.13274122872,25.13274122872,1,-0.02444068592083
113,j0p0PSFB_Step8: left state mass,1e-13,5000,5000,1161.2989463
114,j0p0PSFB_Step8: virtual chemical fuel,0,5000,5000,0.0002910954936199
115,j0p0PSFB_Step8: virtual electric propellant,0,5000,5000,39.12112218512
116,j0p0PSFB_Step8: substep0 u_x,-1,1,1,-0.9893115214166
117,j0p0PSFB_Step8: substep0 u_y,-1,1,1,0.08374767829026
118,j0p0PSFB_Step8: substep0 u_z,-1,1,1,0.106182705167
119,j0p0PSFB_Step9: left state r,20000000,747989353500,149597870.691,212579067.4682
120,j0p0PSFB_Step9: left state RA,-25.13274122872,25.13274122872,1,2.071857541431
121,j0p0PSFB_Step9: left state DEC,-1.570796326795,1.570796326795,1,0.3621452393921
122,j0p0PSFB_Step9: left state v,0,297.8469183259,29.78469183259,24.04605613406
123,j0p0PSFB_Step9: left state vRA,-25.13274122872,25.13274122872,1,3.395969517205
124,j0p0PSFB_Step9: left state vDEC,-25.13274122872,25.13274122872,1,-0.1056732871825
125,j0p0PSFB_Step9: left state mass,1e-13,5000,5000,1156.411771423
126,j0p0PSFB_Step9: virtual chemical fuel,0,5000,5000,0.0003159758756846
127,j0p0PSFB_Step9: virtual electric propellant,0,5000,5000,44.00829708374
128,j0p0PSFB_Step9: substep0 u_x,-1,1,1,-0.9922014195465
129,j0p0PSFB_Step9: substep0 u_y,-1,1,1,-0.07213237964068
130,j0p0PSFB_Step9: substep0 u_z,-1,1,1,0.07769473851376
131,j0p0PSFB_Step10: left state r,20000000,747989353500,149597870.691,219987527.3694
132,j0p0PSFB_Step10: left state RA,-25.13274122872,25.13274122872,1,2.263337409453
133,j0p0PSFB_Step10: left state DEC,-1.570796326795,1.570796326795,1,0.3214603633185
134,j0p0PSFB_Step10: left state v,0,297.8469183259,29.78469183259,23.27088950373
135,j0p0PSFB_Step10: left state vRA,-25.13274122872,25.13274122872,1,3.584801564402
136,j0p0PSFB_Step10: left state vDEC,-25.13274122872,25.13274122872,1,-0.1800014876575
137,j0p0PSFB_Step10: left state mass,1e-13,5000,5000,1151.726243455
138,j0p0PSFB_Step10: virtual chemical fuel,0,5000,5000,0.0003392202373913
139,j0p0PSFB_Step10: virtual electric propellant,0,5000,5000,48.69382507434
140,j0p0PSFB_Step10: substep0 u_x,-1,1,1,-0.9773096611585
141,j0p0PSFB_Step10: substep0 u_y,-1,1,1,-0.1999886290396
142,j0p0PSFB_Step10: substep0 u_z,-1,1,1,0.02835223093584
143,j0p0PSFB_Step11: left state r,20000000,747989353500,149597870.691,226454231.217
144,j0p0PSFB_Step11: left state RA,-25.13274122872,25.13274122872,1,2.438628185992
145,j0p0PSFB_Step11: left state DEC,-1.570796326795,1.570796326795,1,0.2734011374592
146,j0p0PSFB_Step11: left state v,0,297.8469183259,29.78469183259,22.62538087403
147,j0p0PSFB_Step11: left state vRA,-25.13274122872,25.13274122872,1,3.772580018416
148,j0p0PSFB_Step11: left state vDEC,-25.13274122872,25.13274122872,1,-0.2459085382473
149,j0p0PSFB_Step11: left state mass,1e-13,5000,5000,1147.35471333
150,j0p0PSFB_Step11: virtual chemical fuel,0,5000,5000,0.0003607561852741
151,j0p0PSFB_Step11: virtual electric propellant,0,5000,5000,53.06535522097
152,j0p0PSFB_Step11: substep0 u_x,-1,1,1,-0.9542375950277
153,j0p0PSFB_Step11: substep0 u_y,-1,1,1,-0.2897648491966
154,j0p0PSFB_Step11: substep0 u_z,-1,1,1,-0.003265988285526
155,j0p0PSFB_Step12: left state r,20000000,747989353500,149597870.691,231906306.6146
156,j0p0PSFB_Step12: left state RA,-25.13274122872,25.13274122872,1,2.600955904922
157,j0p0PSFB_Step12: left state DEC,-1.570796326795,1.570796326795,1,0.2204750877746
158,j0p0PSFB_Step12: left state v,0,297.8469183259,29.78469183259,22.10564845458
159,j0p0PSFB_Step12: left state vRA,-25.13274122872,25.13274122872,1,3.961227767647
160,j0p0PSFB_Step12: left state vDEC,-25.13274122872,25.13274122872,1,-0.3018635069658
161,j0p0PSFB_Step12: left state mass,1e-13,5000,5000,1143.199264352
162,j0p0PSFB_Step12: virtual chemical fuel,0,5000,5000,0.0003805042619732
163,j0p0PSFB_Step12: virtual electric propellant,0,5000,5000,57.22080422216
164,j0p0PSFB_Step12: substep0 u_x,-1,1,1,-0.9295678812184
165,j0p0PSFB_Step12: substep0 u_y,-1,1,1,-0.3564399799064
166,j0p0PSFB_Step12: substep0 u_z,-1,1,1,-0.02288047494501
167,j0p0PSFB_Step13: left state r,20000000,747989353500,149597870.691,236305020.0529
168,j0p0PSFB_Step13: left state RA,-25.13274122872,25.13274122872,1,2.75337022343
169,j0p0PSFB_Step13: left state DEC,-1.570796326795,1.570796326795,1,0.1644575441897
170,j0p0PSFB_Step13: left state v,0,297.8469183259,29.78469183259,21.70598737228
171,j0p0PSFB_Step13: left state vRA,-25.13274122872,25.13274122872,1,4.151792850811
172,j0p0PSFB_Step13: left state vDEC,-25.13274122872,25.13274122872,1,-0.3465247560784
173,j0p0PSFB_Step13: left state mass,1e-13,5000,5000,1139.202460158
174,j0p0PSFB_Step13: virtual chemical fuel,0,5000,5000,0.0003983793228573
175,j0p0PSFB_Step13: virtual electric propellant,0,5000,5000,61.21760843842
176,j0p0PSFB_Step13: substep0 u_x,-1,1,1,-0.8969641136619
177,j0p0PSFB_Step13: substep0 u_y,-1,1,1,-0.4262374917487
178,j0p0PSFB_Step13: substep0 u_z,-1,1,1,-0.04487389022454
179,j0p0PSFB_Step14: left state r,20000000,747989353500,149597870.691,239633018.455
180,j0p0PSFB_Step14: left state RA,-25.13274122872,25.13274122872,1,2.898644550534
181,j0p0PSFB_Step14: left state DEC,-1.570796326795,1.570796326795,1,0.1066104120455
182,j0p0PSFB_Step14: left state v,0,297.8469183259,29.78469183259,21.42200704216
183,j0p0PSFB_Step14: left state vRA,-25.13274122872,25.13274122872,1,4.344515579761
184,j0p0PSFB_Step14: left state vDEC,-25.13274122872,25.13274122872,1,-0.3787943736376
185,j0p0PSFB_Step14: left state mass,1e-13,5000,5000,1135.322557193
186,j0p0PSFB_Step14: virtual chemical fuel,0,5000,5000,0.0004142923352716
187,j0p0PSFB_Step14: virtual electric propellant,0,5000,5000,65.09751142654
188,j0p0PSFB_Step14: substep0 u_x,-1,1,1,-0.8632772546827
189,j0p0PSFB_Step14: substep0 u_y,-1,1,1,-0.4875379784403
190,j0p0PSFB_Step14: substep0 u_z,-1,1,1,-0.04737575351177
191,j0p0PSFB_Step15: left state r,20000000,747989353500,149597870.691,241888236.8419
192,j0p0PSFB_Step15: left state RA,-25.13274122872,25.13274122872,1,3.039285184877
193,j0p0PSFB_Step15: left state DEC,-1.570796326795,1.570796326795,1,0.04786552124293
194,j0p0PSFB_Step15: left state v,0,297.8469183259,29.78469183259,21.24803900419
195,j0p0PSFB_Step15: left state vRA,-25.13274122872,25.13274122872,1,4.538726899901
196,j0p0PSFB_Step15: left state vDEC,-25.13274122872,25.13274122872,1,-0.3977761857826
197,j0p0PSFB_Step15: left state mass,1e-13,5000,5000,1131.524363903
198,j0p0PSFB_Step15: virtual chemical fuel,0,5000,5000,0.000428152740538
199,j0p0PSFB_Step15: virtual electric propellant,0,5000,5000,68.89570473938
200,j0p0PSFB_Step15: substep0 u_x,-1,1,1,-0.8510117732596
201,j0p0PSFB_Step15: substep0 u_y,-1,1,1,-0.5225248283277
202,j0p0PSFB_Step15: substep0 u_z,-1,1,1,-0.04857212262638
203,j0p0PSFB_Step16: left state r,20000000,747989353500,149597870.691,243083036.0259
204,j0p0PSFB_Step16: left state RA,-25.13274122872,25.13274122872,1,3.177574622018
205,j0p0PSFB_Step16: left state DEC,-1.570796326795,1.570796326795,1,-0.01103385025865
206,j0p0PSFB_Step16: left state v,0,297.8469183259,29.78469183259,21.17737033343
207,j0p0PSFB_Step16: left state vRA,-25.13274122872,25.13274122872,1,4.73302162206
208,j0p0PSFB_Step16: left state vDEC,-25.13274122872,25.13274122872,1,-0.4031012040921
209,j0p0PSFB_Step16: left state mass,1e-13,5000,5000,1127.744759601
210,j0p0PSFB_Step16: virtual chemical fuel,0,5000,5000,0.0004398714664598
211,j0p0PSFB_Step16: virtual electric propellant,0,5000,5000,72.67530906443
212,j0p0PSFB_Step16: substep0 u_x,-1,1,1,-0.4313750236844
213,j0p0PSFB_Step16: substep0 u_y,-1,1,1,-0.2797196684791
214,j0p0PSFB_Step16: substep0 u_z,-1,1,1,-0.02180382098077
215,j0p0PSFB_Step17: left state r,20000000,747989353500,149597870.691,243201361.4299
216,j0p0PSFB_Step17: left state RA,-25.13274122872,25.13274122872,1,3.315566101336
217,j0p0PSFB_Step17: left state DEC,-1.570796326795,1.570796326795,1,-0.06942732682829
218,j0p0PSFB_Step17: left state v,0,297.8469183259,29.78469183259,21.18674823733
219,j0p0PSFB_Step17: left state vRA,-25.13274122872,25.13274122872,1,4.928264660855
220,j0p0PSFB_Step17: left state vDEC,-25.13274122872,25.13274122872,1,-0.3950650780509
221,j0p0PSFB_Step17: left state mass,1e-13,5000,5000,1125.80825706
222,j0p0PSFB_Step17: virtual chemical fuel,0,5000,5000,0.0004493645848235
223,j0p0PSFB_Step17: virtual electric propellant,0,5000,5000,74.61181162906
224,j0p0PSFB_Step17: substep0 u_x,-1,1,1,-0.04707178709594
225,j0p0PSFB_Step17: substep0 u_y,-1,1,1,-0.03108977822523
226,j0p0PSFB_Step17: substep0 u_z,-1,1,1,-0.001986648316575
227,j0p0PSFB_Step18: left state r,20000000,747989353500,149597870.691,242185793.2931
228,j0p0PSFB_Step18: left state RA,-25.13274122872,25.13274122872,1,3.45526800234
229,j0p0PSFB_Step18: left state DEC,-1.570796326795,1.570796326795,1,-0.1266968779744
230,j0p0PSFB_Step18: left state v,0,297.8469183259,29.78469183259,21.29596870495
231,j0p0PSFB_Step18: left state vRA,-25.13274122872,25.13274122872,1,5.123349408665
232,j0p0PSFB_Step18: left state vDEC,-25.13274122872,25.13274122872,1,-0.3737128887082
233,j0p0PSFB_Step18: left state mass,1e-13,5000,5000,1125.595170566
234,j0p0PSFB_Step18: virtual chemical fuel,0,5000,5000,0.0004565574676826
235,j0p0PSFB_Step18: virtual electric propellant,0,5000,5000,74.8248981466
236,j0p0PSFB_Step18: substep0 u_x,-1,1,1,-0.01648015033139
237,j0p0PSFB_Step18: substep0 u_y,-1,1,1,-0.01061208776961
238,j0p0PSFB_Step18: substep0 u_z,-1,1,1,-0.001296485729361
239,j0p0PSFB_Step19: left state r,20000000,747989353500,149597870.691,240013460.5223
240,j0p0PSFB_Step19: left state RA,-25.13274122872,25.13274122872,1,3.598882030021
241,j0p0PSFB_Step19: left state DEC,-1.570796326795,1.570796326795,1,-0.1821928081439
242,j0p0PSFB_Step19: left state v,0,297.8469183259,29.78469183259,21.5277716752
243,j0p0PSFB_Step19: left state vRA,-25.13274122872,25.13274122872,1,5.315173001564
244,j0p0PSFB_Step19: left state vDEC,-25.13274122872,25.13274122872,1,-0.3395545766379
245,j0p0PSFB_Step19: left state mass,1e-13,5000,5000,1125.520262473
246,j0p0PSFB_Step19: virtual chemical fuel,0,5000,5000,0.0004613891217134
247,j0p0PSFB_Step19: virtual electric propellant,0,5000,5000,74.89980626192
248,j0p0PSFB_Step19: substep0 u_x,-1,1,1,-0.009798412863559
249,j0p0PSFB_Step19: substep0 u_y,-1,1,1,-0.006662441792593
250,j0p0PSFB_Step19: substep0 u_z,-1,1,1,0.000773604502218
Findex, Description, Lowerbound, Upperbound, Value
0,objective function,-1e+30,1e+30,-0.2250949067805
1,j0p0PSFBEphemerisPeggedIntercept: V_infinity_in magnitude,-10,0,-8.410945843891
2,j0p0PSFB_Step0: substep 0 control magnitude,0,1,0.9991686733368
3,j0p0PSFB_Step0: left match point x,-1e-13,1e-13,6.730800680934e-07
