Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4690545606.046
1,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,3.026214899109
2,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,31.02469090002
3,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.2451194739954
4,j0p0PSFB: phase flight time,315621.8600124,86400000,5022642.890913,49810211.79322
5,j0p0PSFBEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,839.9732644744
6,j0p0PSFBEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,0.7772726388481
7,j0p0PSFBEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,-3.451196674683
8,j0p0PSFBEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,-0.0522469185044
9,j0p0PSFB: virtual chemical fuel,0,5000,5000,1.90242339716e-08
10,j0p0PSFB: virtual electric propellant,0,5000,5000,108.4783544261
11,j0p0PSFB_Step0: left state r,20000000,747989353500,149597870.691,152096864.292
12,j0p0PSFB_Step0: left state RA,-25.13274122872,25.13274122872,1,-1.284356269486
13,j0p0PSFB_Step0: left state DEC,-1.570796326795,1.570796326795,1,-0.3941166402515
14,j0p0PSFB_Step0: left state v,0,297.8469183259,29.78469183259,31.77332116898
15,j0p0PSFB_Step0: left state vRA,-25.13274122872,25.13274122872,1,0.187984523222
16,j0p0PSFB_Step0: left state vDEC,-25.13274122872,25.13274122872,1,0.1190869148787
17,j0p0PSFB_Step0: left state mass,1e-13,5000,5000,948.4516188893
18,j0p0PSFB_Step0: virtual chemical fuel,0,5000,5000,1.828360273649e-08
19,j0p0PSFB_Step0: virtual electric propellant,0,5000,5000,1.118187408324e-08
20,j0p0PSFB_Step0: substep0 u_x,-1,1,1,0.3128141987495
21,j0p0PSFB_Step0: substep0 u_y,-1,1,1,0.4750191880796
22,j0p0PSFB_Step0: substep0 u_z,-1,1,1,0.5640348837647
23,j0p0PSFB_Step1: left state r,20000000,747989353500,149597870.691,158033912.0715
24,j0p0PSFB_Step1: left state RA,-25.13274122872,25.13274122872,1,-0.7656246469869
25,j0p0PSFB_Step1: left state DEC,-1.570796326795,1.570796326795,1,-0.2735464239467
26,j0p0PSFB_Step1: left state v,0,297.8469183259,29.78469183259,30.85322416436
27,j0p0PSFB_Step1: left state vRA,-25.13274122872,25.13274122872,1,0.6090475912427
28,j0p0PSFB_Step1: left state vDEC,-25.13274122872,25.13274122872,1,0.2797591430774
29,j0p0PSFB_Step1: left state mass,1e-13,5000,5000,942.7742070005
30,j0p0PSFB_Step1: virtual chemical fuel,0,5000,5000,1.83535614369e-08
31,j0p0PSFB_Step1: virtual electric propellant,0,5000,5000,5.677411899978
32,j0p0PSFB_Step1: substep0 u_x,-1,1,1,-0.2459740130903
33,j0p0PSFB_Step1: substep0 u_y,-1,1,1,0.4732910899558
34,j0p0PSFB_Step1: substep0 u_z,-1,1,1,0.6093047795009
35,j0p0PSFB_Step2: left state r,20000000,747989353500,149597870.691,167626326.2412
36,j0p0PSFB_Step2: left state RA,-25.13274122872,25.13274122872,1,-0.3309453790798
37,j0p0PSFB_Step2: left state DEC,-1.570796326795,1.570796326795,1,-0.1065862196235
38,j0p0PSFB_Step2: left state v,0,297.8469183259,29.78469183259,29.33854138749
39,j0p0PSFB_Step2: left state vRA,-25.13274122872,25.13274122872,1,1.035544748285
40,j0p0PSFB_Step2: left state vDEC,-25.13274122872,25.13274122872,1,0.3863109342176
41,j0p0PSFB_Step2: left state mass,1e-13,5000,5000,937.0346372142
42,j0p0PSFB_Step2: virtual chemical fuel,0,5000,5000,1.842012785911e-08
43,j0p0PSFB_Step2: virtual electric propellant,0,5000,5000,11.41698168626
44,j0p0PSFB_Step2: substep0 u_x,-1,1,1,-0.4093059278643
45,j0p0PSFB_Step2: substep0 u_y,-1,1,1,0.4520438859135
46,j0p0PSFB_Step2: substep0 u_z,-1,1,1,0.5933673466338
47,j0p0PSFB_Step3: left state r,20000000,747989353500,149597870.691,178831414.0866
48,j0p0PSFB_Step3: left state RA,-25.13274122872,25.13274122872,1,0.03942547570879
49,j0p0PSFB_Step3: left state DEC,-1.570796326795,1.570796326795,1,0.05920107371406
50,j0p0PSFB_Step3: left state v,0,297.8469183259,29.78469183259,27.71316800152
51,j0p0PSFB_Step3: left state vRA,-25.13274122872,25.13274122872,1,1.454393865775
52,j0p0PSFB_Step3: left state vDEC,-25.13274122872,25.13274122872,1,6.70921746768
53,j0p0PSFB_Step3: left state mass,1e-13,5000,5000,931.003999824
54,j0p0PSFB_Step3: virtual chemical fuel,0,5000,5000,1.848328771085e-08
55,j0p0PSFB_Step3: virtual electric propellant,0,5000,5000,17.44761907655
56,j0p0PSFB_Step3: substep0 u_x,-1,1,1,-0.5241965832554
57,j0p0PSFB_Step3: substep0 u_y,-1,1,1,0.4528339597402
58,j0p0PSFB_Step3: substep0 u_z,-1,1,1,0.5518655790212
59,j0p0PSFB_Step4: left state r,20000000,747989353500,149597870.691,190025627.9188
60,j0p0PSFB_Step4: left state RA,-25.13274122872,25.13274122872,1,0.3724544988377
61,j0p0PSFB_Step4: left state DEC,-1.570796326795,1.570796326795,1,0.2009489789934
62,j0p0PSFB_Step4: left state v,0,297.8469183259,29.78469183259,26.24441976397
63,j0p0PSFB_Step4: left state vRA,-25.13274122872,25.13274122872,1,1.846618636272
64,j0p0PSFB_Step4: left state vDEC,-25.13274122872,25.13274122872,1,0.4036113402033
65,j0p0PSFB_Step4: left state mass,1e-13,5000,5000,924.7267017372
66,j0p0PSFB_Step4: virtual chemical fuel,0,5000,5000,1.854302698429e-08
67,j0p0PSFB_Step4: virtual electric propellant,0,5000,5000,23.72491716329
68,j0p0PSFB_Step4: substep0 u_x,-1,1,1,-0.6475125717094
69,j0p0PSFB_Step4: substep0 u_y,-1,1,1,0.4108838017382
70,j0p0PSFB_Step4: substep0 u_z,-1,1,1,0.4890687104132
71,j0p0PSFB_Step5: left state r,20000000,747989353500,149597870.691,200174166.2909
72,j0p0PSFB_Step5: left state RA,-25.13274122872,25.13274122872,1,0.6866261922862
73,j0p0PSFB_Step5: left state DEC,-1.570796326795,1.570796326795,1,0.3103363576156
74,j0p0PSFB_Step5: left state v,0,297.8469183259,29.78469183259,25.0414393375
75,j0p0PSFB_Step5: left state vRA,-25.13274122872,25.13274122872,1,2.200922896871
76,j0p0PSFB_Step5: left state vDEC,-25.13274122872,25.13274122872,1,0.3339871618207
77,j0p0PSFB_Step5: left state mass,1e-13,5000,5000,918.2800883998
78,j0p0PSFB_Step5: virtual chemical fuel,0,5000,5000,1.859933201522e-08
79,j0p0PSFB_Step5: virtual electric propellant,0,5000,5000,30.17153050075
80,j0p0PSFB_Step5: substep0 u_x,-1,1,1,-0.7540483864479
81,j0p0PSFB_Step5: substep0 u_y,-1,1,1,0.3330297057943
82,j0p0PSFB_Step5: substep0 u_z,-1,1,1,0.4085664710922
83,j0p0PSFB_Step6: left state r,20000000,747989353500,149597870.691,208705232.6596
84,j0p0PSFB_Step6: left state RA,-25.13274122872,25.13274122872,1,0.9916827803657
85,j0p0PSFB_Step6: left state DEC,-1.570796326795,1.570796326795,1,0.3850173586528
86,j0p0PSFB_Step6: left state v,0,297.8469183259,29.78469183259,24.13368318319
87,j0p0PSFB_Step6: left state vRA,-25.13274122872,25.13274122872,1,2.518343229359
88,j0p0PSFB_Step6: left state vDEC,-25.13274122872,25.13274122872,1,0.2338985831964
89,j0p0PSFB_Step6: left state mass,1e-13,5000,5000,911.7593579579
90,j0p0PSFB_Step6: virtual chemical fuel,0,5000,5000,1.865218954274e-08
91,j0p0PSFB_Step6: virtual electric propellant,0,5000,5000,36.69226094261
92,j0p0PSFB_Step6: substep0 u_x,-1,1,1,-0.8331642006798
93,j0p0PSFB_Step6: substep0 u_y,-1,1,1,0.2120959885461
94,j0p0PSFB_Step6: substep0 u_z,-1,1,1,0.3173459022339
95,j0p0PSFB_Step7: left state r,20000000,747989353500,149597870.691,215353675.883
96,j0p0PSFB_Step7: left state RA,-25.13274122872,25.13274122872,1,1.290767217962
97,j0p0PSFB_Step7: left state DEC,-1.570796326795,1.570796326795,1,0.4250232934644
98,j0p0PSFB_Step7: left state v,0,297.8469183259,29.78469183259,23.51041395734
99,j0p0PSFB_Step7: left state vRA,-25.13274122872,25.13274122872,1,2.807768183589
100,j0p0PSFB_Step7: left state vDEC,-25.13274122872,25.13274122872,1,0.1174660776878
101,j0p0PSFB_Step7: left state mass,1e-13,5000,5000,905.3085822273
102,j0p0PSFB_Step7: virtual chemical fuel,0,5000,5000,1.870158676917e-08
103,j0p0PSFB_Step7: virtual electric propellant,0,5000,5000,43.14303667321
104,j0p0PSFB_Step7: substep0 u_x,-1,1,1,-0.8772326088843
105,j0p0PSFB_Step7: substep0 u_y,-1,1,1,-0.004731995725305
106,j0p0PSFB_Step7: substep0 u_z,-1,1,1,0.1879837544672
107,j0p0PSFB_Step8: left state r,20000000,747989353500,149597870.691,220020252.7692
108,j0p0PSFB_Step8: left state RA,-25.13274122872,25.13274122872,1,1.582800714683
109,j0p0PSFB_Step8: left state DEC,-1.570796326795,1.570796326795,1,0.4317652477459
110,j0p0PSFB_Step8: left state v,0,297.8469183259,29.78469183259,23.14200788345
111,j0p0PSFB_Step8: left state vRA,-25.13274122872,25.13274122872,1,3.081024257059
112,j0p0PSFB_Step8: left state vDEC,-25.13274122872,25.13274122872,1,-0.004887059070786
113,j0p0PSFB_Step8: left state mass,1e-13,5000,5000,899.3111173979
114,j0p0PSFB_Step8: virtual chemical fuel,0,5000,5000,1.874751141964e-08
115,j0p0PSFB_Step8: virtual electric propellant,0,5000,5000,49.14050150262
116,j0p0PSFB_Step8: substep0 u_x,-1,1,1,-0.8628358456945
117,j0p0PSFB_Step8: substep0 u_y,-1,1,1,-0.2505776593257
118,j0p0PSFB_Step8: substep0 u_z,-1,1,1,-0.003026218389015
119,j0p0PSFB_Step9: left state r,20000000,747989353500,149597870.691,222689953.9695
120,j0p0PSFB_Step9: left state RA,-25.13274122872,25.13274122872,1,1.865336072726
121,j0p0PSFB_Step9: left state DEC,-1.570796326795,1.570796326795,1,0.4077598920035
122,j0p0PSFB_Step9: left state v,0,297.8469183259,29.78469183259,23.01806696855
123,j0p0PSFB_Step9: left state vRA,-25.13274122872,25.13274122872,1,3.34908708317
124,j0p0PSFB_Step9: left state vDEC,-25.13274122872,25.13274122872,1,-0.1251884851329
125,j0p0PSFB_Step9: left state mass,1e-13,5000,5000,893.5211861919
126,j0p0PSFB_Step9: virtual chemical fuel,0,5000,5000,1.87899518011e-08
127,j0p0PSFB_Step9: virtual electric propellant,0,5000,5000,54.93043270862
128,j0p0PSFB_Step9: substep0 u_x,-1,1,1,-0.8059068246884
129,j0p0PSFB_Step9: substep0 u_y,-1,1,1,-0.375584827315
130,j0p0PSFB_Step9: substep0 u_z,-1,1,1,-0.1981039144023
131,j0p0PSFB_Step10: left state r,20000000,747989353500,149597870.691,223463564.6323
132,j0p0PSFB_Step10: left state RA,-25.13274122872,25.13274122872,1,2.137017031128
133,j0p0PSFB_Step10: left state DEC,-1.570796326795,1.570796326795,1,0.3562352434133
134,j0p0PSFB_Step10: left state v,0,297.8469183259,29.78469183259,23.12301324343
135,j0p0PSFB_Step10: left state vRA,-25.13274122872,25.13274122872,1,3.6201498699
136,j0p0PSFB_Step10: left state vDEC,-25.13274122872,25.13274122872,1,-0.2358188967014
137,j0p0PSFB_Step10: left state mass,1e-13,5000,5000,887.7425871623
138,j0p0PSFB_Step10: virtual chemical fuel,0,5000,5000,1.882889686004e-08
139,j0p0PSFB_Step10: virtual electric propellant,0,5000,5000,60.70903173821
140,j0p0PSFB_Step10: substep0 u_x,-1,1,1,-0.7240884823632
141,j0p0PSFB_Step10: substep0 u_y,-1,1,1,-0.4418901412722
142,j0p0PSFB_Step10: substep0 u_z,-1,1,1,-0.353608278305
143,j0p0PSFB_Step11: left state r,20000000,747989353500,149597870.691,222582467.3092
144,j0p0PSFB_Step11: left state RA,-25.13274122872,25.13274122872,1,2.398664629215
145,j0p0PSFB_Step11: left state DEC,-1.570796326795,1.570796326795,1,0.2808089280677
146,j0p0PSFB_Step11: left state v,0,297.8469183259,29.78469183259,23.42094444645
147,j0p0PSFB_Step11: left state vRA,-25.13274122872,25.13274122872,1,3.900939364905
148,j0p0PSFB_Step11: left state vDEC,-25.13274122872,25.13274122872,1,-0.3290590153927
149,j0p0PSFB_Step11: left state mass,1e-13,5000,5000,881.9084877208
150,j0p0PSFB_Step11: virtual chemical fuel,0,5000,5000,1.886433623856e-08
151,j0p0PSFB_Step11: virtual electric propellant,0,5000,5000,66.54313117968
152,j0p0PSFB_Step11: substep0 u_x,-1,1,1,-0.6203130284804
153,j0p0PSFB_Step11: substep0 u_y,-1,1,1,-0.4953030694606
154,j0p0PSFB_Step11: substep0 u_z,-1,1,1,-0.4631966903229
155,j0p0PSFB_Step12: left state r,20000000,747989353500,149597870.691,220399754.114
156,j0p0PSFB_Step12: left state RA,-25.13274122872,25.13274122872,1,2.653433268359
157,j0p0PSFB_Step12: left state DEC,-1.570796326795,1.570796326795,1,0.1854444622656
158,j0p0PSFB_Step12: left state v,0,297.8469183259,29.78469183259,23.86609330094
159,j0p0PSFB_Step12: left state vRA,-25.13274122872,25.13274122872,1,4.195355117805
160,j0p0PSFB_Step12: left state vDEC,-25.13274122872,25.13274122872,1,-0.3972878089808
161,j0p0PSFB_Step12: left state mass,1e-13,5000,5000,875.9896805822
162,j0p0PSFB_Step12: virtual chemical fuel,0,5000,5000,1.889626032818e-08
163,j0p0PSFB_Step12: virtual electric propellant,0,5000,5000,72.46193831834
164,j0p0PSFB_Step12: substep0 u_x,-1,1,1,-0.4961732742228
165,j0p0PSFB_Step12: substep0 u_y,-1,1,1,-0.5390364029502
166,j0p0PSFB_Step12: substep0 u_z,-1,1,1,-0.5374029756783
167,j0p0PSFB_Step13: left state r,20000000,747989353500,149597870.691,217360992.1321
168,j0p0PSFB_Step13: left state RA,-25.13274122872,25.13274122872,1,2.90650664143
169,j0p0PSFB_Step13: left state DEC,-1.570796326795,1.570796326795,1,0.07467462568855
170,j0p0PSFB_Step13: left state v,0,297.8469183259,29.78469183259,24.40524456759
171,j0p0PSFB_Step13: left state vRA,-25.13274122872,25.13274122872,1,4.502477955568
