Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4646764800,4733164800,5022642.890913,4700314549.65
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,6.97
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-11.59687345576
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.4479107709504
4,j0p0MGALT: phase flight time,315621.8600124,26092800,5022642.890913,26092800
5,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,525.2,525.2,454.1844894882
6,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
7,j0p0MGALT: virtual electric propellant,0,525.2,525.2,71.01551051192
8,j0p0MGALT: step 0 u_x,-1,1,1,0.5523863867899
9,j0p0MGALT: step 0 u_y,-1,1,1,0.6775970705947
10,j0p0MGALT: step 0 u_z,-1,1,1,0.4855218749938
11,j0p0MGALT: step 1 u_x,-1,1,1,0.5455495536191
12,j0p0MGALT: step 1 u_y,-1,1,1,-0.4180552495381
13,j0p0MGALT: step 1 u_z,-1,1,1,0.529333242285
14,j0p0MGALT: step 2 u_x,-1,1,1,-0.1797798525842
15,j0p0MGALT: step 2 u_y,-1,1,1,-0.9740310777716
16,j0p0MGALT: step 2 u_z,-1,1,1,-0.1376324641169
17,j0p0MGALT: step 3 u_x,-1,1,1,-0.2888613163068
18,j0p0MGALT: step 3 u_y,-1,1,1,-0.9242680281302
19,j0p0MGALT: step 3 u_z,-1,1,1,-0.2495752660942
20,j0p0MGALT: step 4 u_x,-1,1,1,-0.3100572081188
21,j0p0MGALT: step 4 u_y,-1,1,1,-0.9043271318651
22,j0p0MGALT: step 4 u_z,-1,1,1,-0.2933548433309
23,j0p0MGALT: step 5 u_x,-1,1,1,-0.3009141502471
24,j0p0MGALT: step 5 u_y,-1,1,1,-0.8968639442043
25,j0p0MGALT: step 5 u_z,-1,1,1,-0.3241694986781
26,j0p0MGALT: step 6 u_x,-1,1,1,-0.2697948195738
27,j0p0MGALT: step 6 u_y,-1,1,1,-0.8989457271305
28,j0p0MGALT: step 6 u_z,-1,1,1,-0.3451195365358
29,j0p0MGALT: step 7 u_x,-1,1,1,-0.227231143122
30,j0p0MGALT: step 7 u_y,-1,1,1,-0.9064262618458
31,j0p0MGALT: step 7 u_z,-1,1,1,-0.3560304522284
32,j0p0MGALT: step 8 u_x,-1,1,1,-0.1714980820301
33,j0p0MGALT: step 8 u_y,-1,1,1,-0.9093961179881
34,j0p0MGALT: step 8 u_z,-1,1,1,-0.3789291046232
35,j0p0MGALT: step 9 u_x,-1,1,1,-0.1090414906506
36,j0p0MGALT: step 9 u_y,-1,1,1,-0.9147681136055
37,j0p0MGALT: step 9 u_z,-1,1,1,-0.3889851292476
38,j0p0MGALT: step 10 u_x,-1,1,1,-0.04031856024164
39,j0p0MGALT: step 10 u_y,-1,1,1,-0.9161915079683
40,j0p0MGALT: step 10 u_z,-1,1,1,-0.3987075359042
41,j0p0MGALT: step 11 u_x,-1,1,1,0.03292754160694
