Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4646764800,4733164800,5022642.890913,4700308846.263
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,6.97
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-11.60547455387
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.4523157045194
4,j0p0MGALT: phase flight time,315621.8600124,26092800,5022642.890913,26092800
5,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,525.2,525.2,455.1426565878
6,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
7,j0p0MGALT: virtual electric propellant,0,525.2,525.2,70.05734341234
8,j0p0MGALT: step 0 u_x,-1,1,1,0.5277321778495
9,j0p0MGALT: step 0 u_y,-1,1,1,0.7148898284085
10,j0p0MGALT: step 0 u_z,-1,1,1,0.4587287988465
11,j0p0MGALT: step 1 u_x,-1,1,1,0.5946093154622
12,j0p0MGALT: step 1 u_y,-1,1,1,0.596019101593
13,j0p0MGALT: step 1 u_z,-1,1,1,0.5396316832166
14,j0p0MGALT: step 2 u_x,-1,1,1,0.4671673435534
15,j0p0MGALT: step 2 u_y,-1,1,1,0.07598434871344
16,j0p0MGALT: step 2 u_z,-1,1,1,0.4448935235407
17,j0p0MGALT: step 3 u_x,-1,1,1,0.180410329628
18,j0p0MGALT: step 3 u_y,-1,1,1,-0.5529041020573
19,j0p0MGALT: step 3 u_z,-1,1,1,0.1992372026468
20,j0p0MGALT: step 4 u_x,-1,1,1,-0.09497816431978
21,j0p0MGALT: step 4 u_y,-1,1,1,-0.9945065447467
22,j0p0MGALT: step 4 u_z,-1,1,1,-0.04401014815334
23,j0p0MGALT: step 5 u_x,-1,1,1,-0.2114242334507
24,j0p0MGALT: step 5 u_y,-1,1,1,-0.9645435799222
25,j0p0MGALT: step 5 u_z,-1,1,1,-0.157973381247
26,j0p0MGALT: step 6 u_x,-1,1,1,-0.2615752647024
27,j0p0MGALT: step 6 u_y,-1,1,1,-0.941520502763
28,j0p0MGALT: step 6 u_z,-1,1,1,-0.2124120190495
29,j0p0MGALT: step 7 u_x,-1,1,1,-0.2874998548501
30,j0p0MGALT: step 7 u_y,-1,1,1,-0.9254300268171
31,j0p0MGALT: step 7 u_z,-1,1,1,-0.2468372253896
32,j0p0MGALT: step 8 u_x,-1,1,1,-0.3003261212431
33,j0p0MGALT: step 8 u_y,-1,1,1,-0.9142760762351
34,j0p0MGALT: step 8 u_z,-1,1,1,-0.2718696941322
35,j0p0MGALT: step 9 u_x,-1,1,1,-0.3044863818046
36,j0p0MGALT: step 9 u_y,-1,1,1,-0.9067267531374
37,j0p0MGALT: step 9 u_z,-1,1,1,-0.2917944876242
38,j0p0MGALT: step 10 u_x,-1,1,1,-0.3014147791627
39,j0p0MGALT: step 10 u_y,-1,1,1,-0.9023557673506
40,j0p0MGALT: step 10 u_z,-1,1,1,-0.308073485924
41,j0p0MGALT: step 11 u_x,-1,1,1,-0.2922431643023
42,j0p0MGALT: step 11 u_y,-1,1,1,-0.9006630900452
43,j0p0MGALT: step 11 u_z,-1,1,1,-0.3215629185987
44,j0p0MGALT: step 12 u_x,-1,1,1,-0.2778103317039
45,j0p0MGALT: step 12 u_y,-1,1,1,-0.9010481574409
46,j0p0MGALT: step 12 u_z,-1,1,1,-0.3330692909785
47,j0p0MGALT: step 13 u_x,-1,1,1,-0.2591029292179
48,j0p0MGALT: step 13 u_y,-1,1,1,-0.9027002826882
49,j0p0MGALT: step 13 u_z,-1,1,1,-0.3435088037508
50,j0p0MGALT: step 14 u_x,-1,1,1,-0.2365640222486
51,j0p0MGALT: step 14 u_y,-1,1,1,-0.9050148684424
52,j0p0MGALT: step 14 u_z,-1,1,1,-0.353534634798
53,j0p0MGALT: step 15 u_x,-1,1,1,-0.2110723552996
54,j0p0MGALT: step 15 u_y,-1,1,1,-0.9078784746963
55,j0p0MGALT: step 15 u_z,-1,1,1,-0.3622252057831
56,j0p0MGALT: step 16 u_x,-1,1,1,-0.183302916776
57,j0p0MGALT: step 16 u_y,-1,1,1,-0.9109987862574
58,j0p0MGALT: step 16 u_z,-1,1,1,-0.3694371365552
59,j0p0MGALT: step 17 u_x,-1,1,1,-0.1534468554388
60,j0p0MGALT: step 17 u_y,-1,1,1,-0.9136774603184
61,j0p0MGALT: step 17 u_z,-1,1,1,-0.3763640661254
62,j0p0MGALT: step 18 u_x,-1,1,1,-0.12187266747
63,j0p0MGALT: step 18 u_y,-1,1,1,-0.9157080037224
64,j0p0MGALT: step 18 u_z,-1,1,1,-0.382919737604
65,j0p0MGALT: step 19 u_x,-1,1,1,-0.08883490183643
66,j0p0MGALT: step 19 u_y,-1,1,1,-0.9171114532236
67,j0p0MGALT: step 19 u_z,-1,1,1,-0.3886077753959
68,j0p0MGALT: step 20 u_x,-1,1,1,-0.05452021733046
69,j0p0MGALT: step 20 u_y,-1,1,1,-0.9177130142489
70,j0p0MGALT: step 20 u_z,-1,1,1,-0.3934857309912
