Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4674326400,4760726400,5022642.890913,4708807704.12
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,2.598418655793
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-10.50965688228
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-0.5571784010475
4,j0p0MGALT: phase flight time,15781093.00062,103680000,5022642.890913,31558142.70026
5,j0p0MGALTEphemerisPeggedFlybyIn: event left state mass,1e-13,525.2,525.2,525.1936746701
6,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,-1.051516608322
7,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,1.954948551092
8,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-1.373218907595
9,j0p0MGALTEphemerisPeggedFlybyIn: virtual chemical fuel,0,525.2,525.2,209.7724419596
10,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
11,j0p0MGALT: virtual electric propellant,0,525.2,525.2,0.006325329871029
12,j0p0MGALT: step 0 u_x,-1,1,1,5.766986165279e-06
13,j0p0MGALT: step 0 u_y,-1,1,1,1.059651906399e-05
14,j0p0MGALT: step 0 u_z,-1,1,1,-1.50571230666e-05
15,j0p0MGALT: step 1 u_x,-1,1,1,-1.481084108002e-05
16,j0p0MGALT: step 1 u_y,-1,1,1,2.63421908735e-05
17,j0p0MGALT: step 1 u_z,-1,1,1,6.258770110179e-06
18,j0p0MGALT: step 2 u_x,-1,1,1,-1.552710747932e-05
19,j0p0MGALT: step 2 u_y,-1,1,1,-2.1096283922e-06
20,j0p0MGALT: step 2 u_z,-1,1,1,3.159561465038e-05
21,j0p0MGALT: step 3 u_x,-1,1,1,-2.570477625452e-05
22,j0p0MGALT: step 3 u_y,-1,1,1,-2.259836529706e-05
23,j0p0MGALT: step 3 u_z,-1,1,1,4.170464872333e-06
24,j0p0MGALT: step 4 u_x,-1,1,1,2.098006039497e-05
25,j0p0MGALT: step 4 u_y,-1,1,1,0.0002043574552197
26,j0p0MGALT: step 4 u_z,-1,1,1,-1.09397246949e-05
27,j0p0MGALT: step 5 u_x,-1,1,1,-0.0001606875865896
28,j0p0MGALT: step 5 u_y,-1,1,1,3.746496788049e-05
29,j0p0MGALT: step 5 u_z,-1,1,1,-8.565981313002e-05
30,j0p0MGALT: step 6 u_x,-1,1,1,-0.0002464974404587
31,j0p0MGALT: step 6 u_y,-1,1,1,-0.0003385852623756
32,j0p0MGALT: step 6 u_z,-1,1,1,0.0002653975885996
33,j0p0MGALT: step 7 u_x,-1,1,1,-0.0002139175270498
34,j0p0MGALT: step 7 u_y,-1,1,1,-0.0001130746880298
35,j0p0MGALT: step 7 u_z,-1,1,1,0.0001222199643873
36,j0p0MGALT: step 8 u_x,-1,1,1,-7.107187314881e-05
37,j0p0MGALT: step 8 u_y,-1,1,1,-4.098637990391e-05
38,j0p0MGALT: step 8 u_z,-1,1,1,4.884787030268e-05
39,j0p0MGALT: step 9 u_x,-1,1,1,-2.547296421651e-05
40,j0p0MGALT: step 9 u_y,-1,1,1,-1.868212631373e-05
41,j0p0MGALT: step 9 u_z,-1,1,1,7.346222970828e-06
42,j0p0MGALT: step 10 u_x,-1,1,1,-6.744941182912e-06
43,j0p0MGALT: step 10 u_y,-1,1,1,-7.0898917226e-07
44,j0p0MGALT: step 10 u_z,-1,1,1,-1.626568295832e-05
45,j0p0MGALT: step 11 u_x,-1,1,1,-5.525636002091e-05
46,j0p0MGALT: step 11 u_y,-1,1,1,-3.285214796256e-05
47,j0p0MGALT: step 11 u_z,-1,1,1,-1.775185291375e-05
48,j0p0MGALT: step 12 u_x,-1,1,1,-2.766448363978e-05
49,j0p0MGALT: step 12 u_y,-1,1,1,-2.403762959902e-06
50,j0p0MGALT: step 12 u_z,-1,1,1,-2.771843183713e-05
51,j0p0MGALT: step 13 u_x,-1,1,1,-1.040798559215e-05
52,j0p0MGALT: step 13 u_y,-1,1,1,-1.808446979101e-05
53,j0p0MGALT: step 13 u_z,-1,1,1,-3.001925847013e-06
54,j0p0MGALT: step 14 u_x,-1,1,1,-1.384191251308e-05
55,j0p0MGALT: step 14 u_y,-1,1,1,2.293120907892e-05
56,j0p0MGALT: step 14 u_z,-1,1,1,-6.370518022436e-05
57,j0p0MGALT: step 15 u_x,-1,1,1,3.677170592153e-05
58,j0p0MGALT: step 15 u_y,-1,1,1,-2.195182863762e-05
59,j0p0MGALT: step 15 u_z,-1,1,1,-0.0001372513554954
60,j0p0MGALT: step 16 u_x,-1,1,1,8.838096358765e-06
61,j0p0MGALT: step 16 u_y,-1,1,1,2.546916807744e-05
62,j0p0MGALT: step 16 u_z,-1,1,1,-5.607665642815e-05
63,j0p0MGALT: step 17 u_x,-1,1,1,8.464786165785e-06
64,j0p0MGALT: step 17 u_y,-1,1,1,-4.202091338223e-06
65,j0p0MGALT: step 17 u_z,-1,1,1,-3.649409230144e-06
66,j0p0MGALT: step 18 u_x,-1,1,1,4.445737619152e-06
67,j0p0MGALT: step 18 u_y,-1,1,1,-5.315320772858e-06
68,j0p0MGALT: step 18 u_z,-1,1,1,-1.47267348064e-05
69,j0p0MGALT: step 19 u_x,-1,1,1,7.62396565146e-06
70,j0p0MGALT: step 19 u_y,-1,1,1,-2.715481832505e-06
71,j0p0MGALT: step 19 u_z,-1,1,1,-2.565184668568e-06
72,j0p1MGALTEphemerisPeggedUnpoweredFlyby: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,1.447843116974
73,j0p1MGALTEphemerisPeggedUnpoweredFlyby: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,-1.979300038428
74,j0p1MGALTEphemerisPeggedUnpoweredFlyby: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-0.8940707706917
75,j0p1MGALT: phase flight time,15781093.00062,103680000,5022642.890913,22191914.68987
76,j0p1MGALTEphemerisPeggedFlybyIn: event left state mass,1e-13,525.2,525.2,295.7595946109
77,j0p1MGALTEphemerisPeggedFlybyIn: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,-2.408193209421
78,j0p1MGALTEphemerisPeggedFlybyIn: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,-2.45462328677
79,j0p1MGALTEphemerisPeggedFlybyIn: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-0.9265134430914
80,j0p1MGALTEphemerisPeggedFlybyIn: virtual chemical fuel,0,525.2,525.2,118.1320632497
81,j0p1MGALT: virtual chemical fuel,0,525.2,525.2,5.253633084e-11
82,j0p1MGALT: virtual electric propellant,0,525.2,525.2,19.66163809968
83,j0p1MGALT: step 0 u_x,-1,1,1,-1.427888569272e-06
84,j0p1MGALT: step 0 u_y,-1,1,1,-1.361542062983e-06
85,j0p1MGALT: step 0 u_z,-1,1,1,-2.995172499021e-06
86,j0p1MGALT: step 1 u_x,-1,1,1,3.385473211326e-06
87,j0p1MGALT: step 1 u_y,-1,1,1,-4.392509359463e-06
88,j0p1MGALT: step 1 u_z,-1,1,1,-5.423002795379e-06
89,j0p1MGALT: step 2 u_x,-1,1,1,-4.434773581918e-06
90,j0p1MGALT: step 2 u_y,-1,1,1,2.371500963161e-06
91,j0p1MGALT: step 2 u_z,-1,1,1,4.712190870615e-06
92,j0p1MGALT: step 3 u_x,-1,1,1,-1.643616921854e-05
93,j0p1MGALT: step 3 u_y,-1,1,1,4.476099666695e-06
94,j0p1MGALT: step 3 u_z,-1,1,1,-8.120966288328e-07
95,j0p1MGALT: step 4 u_x,-1,1,1,-1.488341762956e-05
96,j0p1MGALT: step 4 u_y,-1,1,1,1.258032820628e-05
97,j0p1MGALT: step 4 u_z,-1,1,1,1.990565089871e-06
98,j0p1MGALT: step 5 u_x,-1,1,1,-1.811318358835e-05
99,j0p1MGALT: step 5 u_y,-1,1,1,1.600803480395e-05
100,j0p1MGALT: step 5 u_z,-1,1,1,-1.711655445646e-05
101,j0p1MGALT: step 6 u_x,-1,1,1,-1.335206137187e-05
102,j0p1MGALT: step 6 u_y,-1,1,1,4.282643762443e-05
103,j0p1MGALT: step 6 u_z,-1,1,1,-3.421577914331e-06
104,j0p1MGALT: step 7 u_x,-1,1,1,-0.3194286438625
105,j0p1MGALT: step 7 u_y,-1,1,1,0.1061069108944
106,j0p1MGALT: step 7 u_z,-1,1,1,-0.02978769058526
107,j0p1MGALT: step 8 u_x,-1,1,1,-0.9826857977697
108,j0p1MGALT: step 8 u_y,-1,1,1,0.1533164449833
109,j0p1MGALT: step 8 u_z,-1,1,1,-0.1040323158011
110,j0p1MGALT: step 9 u_x,-1,1,1,-0.9944226021729
111,j0p1MGALT: step 9 u_y,-1,1,1,0.0165885722166
