Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4674326400,4705948800,5022642.890913,4705948800
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,2.711881128488
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-11.11823441573
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-1.160062799746
4,j0p0MGALT: phase flight time,15781093.00062,103680000,5022642.890913,29928766.03802
5,j0p0MGALTEphemerisPeggedFlybyIn: event left state mass,1e-13,525.2,525.2,508.5780836467
6,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,0.1669099115086
7,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,0.991509342292
8,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-2.677900249882
9,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
10,j0p0MGALT: virtual electric propellant,0,525.2,525.2,16.62191635326
11,j0p0MGALT: step 0 u_x,-1,1,1,3.631480089505e-05
12,j0p0MGALT: step 0 u_y,-1,1,1,1.919635783021e-05
13,j0p0MGALT: step 0 u_z,-1,1,1,3.225228829273e-05
14,j0p0MGALT: step 1 u_x,-1,1,1,3.843716195684e-05
15,j0p0MGALT: step 1 u_y,-1,1,1,-3.500572116832e-05
16,j0p0MGALT: step 1 u_z,-1,1,1,4.430207484418e-06
17,j0p0MGALT: step 2 u_x,-1,1,1,-2.392456846745e-06
18,j0p0MGALT: step 2 u_y,-1,1,1,-1.960259889822e-05
19,j0p0MGALT: step 2 u_z,-1,1,1,3.726082118471e-05
20,j0p0MGALT: step 3 u_x,-1,1,1,-1.634255138683e-05
21,j0p0MGALT: step 3 u_y,-1,1,1,-9.337093625339e-05
22,j0p0MGALT: step 3 u_z,-1,1,1,0.0003002070110372
23,j0p0MGALT: step 4 u_x,-1,1,1,0.00248811203774
24,j0p0MGALT: step 4 u_y,-1,1,1,-0.2932923379063
25,j0p0MGALT: step 4 u_z,-1,1,1,0.6802612254264
26,j0p0MGALT: step 5 u_x,-1,1,1,-0.008559999686815
