Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4646764800,4733164800,5022642.890913,4696268637.896
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,3.162240787256
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,1.225682574317
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.3870267485087
4,j0p0MGALT: phase flight time,315621.8600124,26092800,5022642.890913,26092459.91684
5,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,525.2,525.2,37.13479607875
6,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,484.1624044992
7,j0p0MGALT: virtual electric propellant,0,525.2,525.2,3.902800233715
8,j0p0MGALT: step 0 u_x,-1,1,1,0.006008578486137
9,j0p0MGALT: step 0 u_y,-1,1,1,0.02446108021616
10,j0p0MGALT: step 0 u_z,-1,1,1,0.01371351500001
11,j0p0MGALT: step 1 u_x,-1,1,1,-7.38064886241e-06
12,j0p0MGALT: step 1 u_y,-1,1,1,0.0009270467818521
13,j0p0MGALT: step 1 u_z,-1,1,1,0.0008224978809974
14,j0p0MGALT: step 2 u_x,-1,1,1,-8.44300971965e-05
15,j0p0MGALT: step 2 u_y,-1,1,1,9.436363714532e-05
16,j0p0MGALT: step 2 u_z,-1,1,1,0.000154510918793
17,j0p0MGALT: step 3 u_x,-1,1,1,-0.0005987537616898
18,j0p0MGALT: step 3 u_y,-1,1,1,0.0006923313733811
19,j0p0MGALT: step 3 u_z,-1,1,1,0.001594852859144
20,j0p0MGALT: step 4 u_x,-1,1,1,-0.003061993519898
21,j0p0MGALT: step 4 u_y,-1,1,1,0.001537892576147
22,j0p0MGALT: step 4 u_z,-1,1,1,0.006989031430553
23,j0p0MGALT: step 5 u_x,-1,1,1,-0.02798712512069
24,j0p0MGALT: step 5 u_y,-1,1,1,0.00110862319876
25,j0p0MGALT: step 5 u_z,-1,1,1,0.05637821103815
26,j0p0MGALT: step 6 u_x,-1,1,1,-0.05168780464418
27,j0p0MGALT: step 6 u_y,-1,1,1,-0.01562882097003
28,j0p0MGALT: step 6 u_z,-1,1,1,0.1006841355608
29,j0p0MGALT: step 7 u_x,-1,1,1,-0.03648394030483
30,j0p0MGALT: step 7 u_y,-1,1,1,-0.01991439359994
31,j0p0MGALT: step 7 u_z,-1,1,1,0.06503833396628
32,j0p0MGALT: step 8 u_x,-1,1,1,-0.0035491692283
33,j0p0MGALT: step 8 u_y,-1,1,1,-0.002744777095014
34,j0p0MGALT: step 8 u_z,-1,1,1,0.006258439018962
35,j0p0MGALT: step 9 u_x,-1,1,1,-0.0002076917289792
36,j0p0MGALT: step 9 u_y,-1,1,1,-0.0001924494576284
37,j0p0MGALT: step 9 u_z,-1,1,1,0.0002924447939368
38,j0p0MGALT: step 10 u_x,-1,1,1,-0.0001061306194651
39,j0p0MGALT: step 10 u_y,-1,1,1,-0.0001125333125916
40,j0p0MGALT: step 10 u_z,-1,1,1,0.0002593682411671
41,j0p0MGALT: step 11 u_x,-1,1,1,-4.380512605695e-05
42,j0p0MGALT: step 11 u_y,-1,1,1,-6.994610122635e-05
43,j0p0MGALT: step 11 u_z,-1,1,1,0.0001516663332077
44,j0p0MGALT: step 12 u_x,-1,1,1,-0.0002142756939181
45,j0p0MGALT: step 12 u_y,-1,1,1,-0.0001200053170266
46,j0p0MGALT: step 12 u_z,-1,1,1,2.569172580968e-05
47,j0p0MGALT: step 13 u_x,-1,1,1,-5.177937979717e-05
48,j0p0MGALT: step 13 u_y,-1,1,1,-0.0001278033697473
49,j0p0MGALT: step 13 u_z,-1,1,1,1.117465745426e-05
50,j0p0MGALT: step 14 u_x,-1,1,1,-4.092455401439e-05
51,j0p0MGALT: step 14 u_y,-1,1,1,-0.0001722206737136
52,j0p0MGALT: step 14 u_z,-1,1,1,2.757333937864e-05
53,j0p0MGALT: step 15 u_x,-1,1,1,-3.657690568315e-05
54,j0p0MGALT: step 15 u_y,-1,1,1,-0.0001255610908736
55,j0p0MGALT: step 15 u_z,-1,1,1,0.0001124401848904
56,j0p0MGALT: step 16 u_x,-1,1,1,0.0001913129122213
57,j0p0MGALT: step 16 u_y,-1,1,1,-0.0001311253156495
58,j0p0MGALT: step 16 u_z,-1,1,1,-8.439157360951e-05
59,j0p0MGALT: step 17 u_x,-1,1,1,8.916520420366e-05
60,j0p0MGALT: step 17 u_y,-1,1,1,-0.0001636717599069
61,j0p0MGALT: step 17 u_z,-1,1,1,-0.0001087153449666
62,j0p0MGALT: step 18 u_x,-1,1,1,0.001102309530761
63,j0p0MGALT: step 18 u_y,-1,1,1,-0.004013415901562
64,j0p0MGALT: step 18 u_z,-1,1,1,-0.00215133282707
65,j0p0MGALT: step 19 u_x,-1,1,1,0.2851772761305
66,j0p0MGALT: step 19 u_y,-1,1,1,-0.6577447263658
67,j0p0MGALT: step 19 u_z,-1,1,1,-0.4684645511856
Findex, Description, Lowerbound, Upperbound, Value
0,objective function,-1e+30,1e+30,-0.07070600928932
1,j0p0MGALT: step 0 control magnitude,0,1,0.02867939947804
2,j0p0MGALT: step 1 control magnitude,0,1,0.001239343767469
3,j0p0MGALT: step 2 control magnitude,0,1,0.0001997662668074
4,j0p0MGALT: step 3 control magnitude,0,1,0.001838854110588
5,j0p0MGALT: step 4 control magnitude,0,1,0.007783795875337
6,j0p0MGALT: step 5 control magnitude,0,1,0.06295244949786
7,j0p0MGALT: step 6 control magnitude,0,1,0.1142505332481
8,j0p0MGALT: step 7 control magnitude,0,1,0.07718578792582
9,j0p0MGALT: step 8 control magnitude,0,1,0.007700549491205
10,j0p0MGALT: step 9 control magnitude,0,1,0.000407058479249
11,j0p0MGALT: step 10 control magnitude,0,1,0.0003019922836051
12,j0p0MGALT: step 11 control magnitude,0,1,0.0001726673761146
13,j0p0MGALT: step 12 control magnitude,0,1,0.0002469320025712
14,j0p0MGALT: step 13 control magnitude,0,1,0.0001383462267652
15,j0p0MGALT: step 14 control magnitude,0,1,0.0001791509660039
16,j0p0MGALT: step 15 control magnitude,0,1,0.0001724710200263
17,j0p0MGALT: step 16 control magnitude,0,1,0.0002468125128171
18,j0p0MGALT: step 17 control magnitude,0,1,0.0002157728084419
19,j0p0MGALT: step 18 control magnitude,0,1,0.004685170907592
20,j0p0MGALT: step 19 control magnitude,0,1,0.8563954925154
21,j0p0MGALT: match point x,-1e-13,1e-13,1.833299331311e-07
22,j0p0MGALT: match point y,-1e-13,1e-13,2.613323199015e-07
23,j0p0MGALT: match point z,-1e-13,1e-13,-1.376024151318e-07
24,j0p0MGALT: match point xdot,-1e-13,1e-13,1.372202902956e-07
25,j0p0MGALT: match point ydot,-1e-13,1e-13,1.615516865494e-07
26,j0p0MGALT: match point zdot,-1e-13,1e-13,-1.63251111904e-07
27,j0p0MGALT: match point mass,-1e-13,1e-13,7.193930840434e-06
28,j0p0MGALT: match point virtual chemical fuel,-1e-13,1e-13,-5.411597378219e-16
29,j0p0MGALT: match point virtual electric propellant,-1e-13,1e-13,-7.192385364846e-06
30,Mission flight time bounds,0,1,0.9999869663984
