Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4674326400,4705948800,5022642.890913,4705431603.551
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,2.615103901922
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-11.24059587982
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-0.02353808660282
4,j0p0MGALT: phase flight time,15781093.00062,103680000,5022642.890913,29956794.73139
5,j0p0MGALTEphemerisPeggedFlybyIn: event left state mass,1e-13,525.2,525.2,445.3696728324
6,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,0.4081118216934
7,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,1.969448528421
8,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-1.483764912049
9,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
10,j0p0MGALT: virtual electric propellant,0,525.2,525.2,79.83032716773
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.5419850109913
12,j0p0MGALT: step 0 u_y,-1,1,1,-0.8056489378488
13,j0p0MGALT: step 0 u_z,-1,1,1,0.160635626214
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.5622595616073
15,j0p0MGALT: step 1 u_y,-1,1,1,-0.741216299538
16,j0p0MGALT: step 1 u_z,-1,1,1,-0.2440062718048
17,j0p0MGALT: step 2 u_x,-1,1,1,0.01090552523434
18,j0p0MGALT: step 2 u_y,-1,1,1,-0.5569475223896
19,j0p0MGALT: step 2 u_z,-1,1,1,-0.7377322714713
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.05546330548233
21,j0p0MGALT: step 3 u_y,-1,1,1,-0.5781921207853
22,j0p0MGALT: step 3 u_z,-1,1,1,-0.6893562360291
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.03859116276458
24,j0p0MGALT: step 4 u_y,-1,1,1,0.4388296125497
25,j0p0MGALT: step 4 u_z,-1,1,1,-0.7855703683261
