Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4674326400,4705948800,5022642.890913,4705948800
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,3.196929682105
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-10.97562502132
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-0.7930069120753
4,j0p0MGALT: phase flight time,15781093.00062,103680000,5022642.890913,31557705.37933
5,j0p0MGALTEphemerisPeggedFlybyIn: event left state mass,1e-13,525.2,525.2,525.1940818407
6,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_x,-29.78469183259,29.78469183259,29.78469183259,-0.04482798323383
7,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_y,-29.78469183259,29.78469183259,29.78469183259,2.260275241657
8,j0p0MGALTEphemerisPeggedFlybyIn: V_infinity_z,-29.78469183259,29.78469183259,29.78469183259,-2.268508253855
9,j0p0MGALTEphemerisPeggedFlybyIn: virtual chemical fuel,0,525.2,525.2,209.7726045913
10,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
11,j0p0MGALT: virtual electric propellant,0,525.2,525.2,0.005918159393083
12,j0p0MGALT: step 0 u_x,-1,1,1,-3.426453798805e-06
13,j0p0MGALT: step 0 u_y,-1,1,1,-1.456819463364e-05
14,j0p0MGALT: step 0 u_z,-1,1,1,1.060922783158e-05
15,j0p0MGALT: step 1 u_x,-1,1,1,1.191039481507e-05
16,j0p0MGALT: step 1 u_y,-1,1,1,-1.232585983968e-05
17,j0p0MGALT: step 1 u_z,-1,1,1,2.28846726138e-05
18,j0p0MGALT: step 2 u_x,-1,1,1,1.133418458066e-05
19,j0p0MGALT: step 2 u_y,-1,1,1,-1.956770317368e-05
20,j0p0MGALT: step 2 u_z,-1,1,1,3.244467060659e-05
21,j0p0MGALT: step 3 u_x,-1,1,1,4.291841007031e-06
22,j0p0MGALT: step 3 u_y,-1,1,1,-2.564241027636e-05
23,j0p0MGALT: step 3 u_z,-1,1,1,4.24842550093e-05
24,j0p0MGALT: step 4 u_x,-1,1,1,-9.270005445705e-06
25,j0p0MGALT: step 4 u_y,-1,1,1,-1.689020249451e-05
26,j0p0MGALT: step 4 u_z,-1,1,1,5.70566766811e-05
27,j0p0MGALT: step 5 u_x,-1,1,1,-0.0004295213140643
28,j0p0MGALT: step 5 u_y,-1,1,1,-0.001017890075568
29,j0p0MGALT: step 5 u_z,-1,1,1,0.000668419599128
