Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4646764800,4733164800,5022642.890913,4698719107.591
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,4.772103502094
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,0.9389453832238
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.6515709094938
4,j0p0MGALT: phase flight time,315621.8600124,585807474.1131,5022642.890913,30745523.88402
5,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,525.2,525.2,485.1358679427
6,j0p0MGALT: virtual chemical fuel,0,525.2,525.2,0
7,j0p0MGALT: virtual electric propellant,0,525.2,525.2,40.06413205728
8,j0p0MGALT: step 0 u_x,-1,1,1,-0.000100010533176
9,j0p0MGALT: step 0 u_y,-1,1,1,-0.0001783100590986
10,j0p0MGALT: step 0 u_z,-1,1,1,0.0003261653937907
11,j0p0MGALT: step 1 u_x,-1,1,1,-9.170171624129e-05
12,j0p0MGALT: step 1 u_y,-1,1,1,-8.463325263097e-05
13,j0p0MGALT: step 1 u_z,-1,1,1,0.0001312901429922
14,j0p0MGALT: step 2 u_x,-1,1,1,-2.816072251421e-05
15,j0p0MGALT: step 2 u_y,-1,1,1,-3.798153296941e-05
16,j0p0MGALT: step 2 u_z,-1,1,1,7.37176801362e-05
17,j0p0MGALT: step 3 u_x,-1,1,1,-3.808849130726e-05
18,j0p0MGALT: step 3 u_y,-1,1,1,-3.591177777706e-05
19,j0p0MGALT: step 3 u_z,-1,1,1,5.473681841184e-05
20,j0p0MGALT: step 4 u_x,-1,1,1,-2.241095412026e-05
21,j0p0MGALT: step 4 u_y,-1,1,1,-3.694146893463e-05
22,j0p0MGALT: step 4 u_z,-1,1,1,3.989945855953e-05
23,j0p0MGALT: step 5 u_x,-1,1,1,-3.502166505553e-05
24,j0p0MGALT: step 5 u_y,-1,1,1,-3.889406051205e-05
25,j0p0MGALT: step 5 u_z,-1,1,1,2.631881851123e-05
26,j0p0MGALT: step 6 u_x,-1,1,1,-3.026512559456e-05
27,j0p0MGALT: step 6 u_y,-1,1,1,-3.41726795684e-05
28,j0p0MGALT: step 6 u_z,-1,1,1,1.423469239326e-05
29,j0p0MGALT: step 7 u_x,-1,1,1,-6.571440983616e-05
30,j0p0MGALT: step 7 u_y,-1,1,1,-9.015458010531e-05
31,j0p0MGALT: step 7 u_z,-1,1,1,4.047842867694e-05
32,j0p0MGALT: step 8 u_x,-1,1,1,-6.103852297901e-05
33,j0p0MGALT: step 8 u_y,-1,1,1,-0.0001598627587215
34,j0p0MGALT: step 8 u_z,-1,1,1,5.978315581578e-05
35,j0p0MGALT: step 9 u_x,-1,1,1,-0.223900561947
36,j0p0MGALT: step 9 u_y,-1,1,1,-0.5038968228648
37,j0p0MGALT: step 9 u_z,-1,1,1,0.1397186672747
38,j0p0MGALT: step 10 u_x,-1,1,1,-0.335950110718
39,j0p0MGALT: step 10 u_y,-1,1,1,-0.9280577831135
40,j0p0MGALT: step 10 u_z,-1,1,1,0.1606043744174
41,j0p0MGALT: step 11 u_x,-1,1,1,-0.2675035762545
42,j0p0MGALT: step 11 u_y,-1,1,1,-0.9604714119389
43,j0p0MGALT: step 11 u_z,-1,1,1,0.07327300796279
44,j0p0MGALT: step 12 u_x,-1,1,1,-0.1885057254904
45,j0p0MGALT: step 12 u_y,-1,1,1,-0.9818325234982
46,j0p0MGALT: step 12 u_z,-1,1,1,-0.01509558784767
47,j0p0MGALT: step 13 u_x,-1,1,1,-0.1000836901193
48,j0p0MGALT: step 13 u_y,-1,1,1,-0.9896722787447
49,j0p0MGALT: step 13 u_z,-1,1,1,-0.1026324797997
50,j0p0MGALT: step 14 u_x,-1,1,1,-0.005067991499818
51,j0p0MGALT: step 14 u_y,-1,1,1,-0.9820637392609
52,j0p0MGALT: step 14 u_z,-1,1,1,-0.1884854882775
53,j0p0MGALT: step 15 u_x,-1,1,1,0.09529842273133
54,j0p0MGALT: step 15 u_y,-1,1,1,-0.9576533846284
55,j0p0MGALT: step 15 u_z,-1,1,1,-0.2716999230766
56,j0p0MGALT: step 16 u_x,-1,1,1,0.1977518709032
57,j0p0MGALT: step 16 u_y,-1,1,1,-0.9151974797194
58,j0p0MGALT: step 16 u_z,-1,1,1,-0.3511597135886
59,j0p0MGALT: step 17 u_x,-1,1,1,0.2986971925077
60,j0p0MGALT: step 17 u_y,-1,1,1,-0.8543558823515
61,j0p0MGALT: step 17 u_z,-1,1,1,-0.4252815126801
62,j0p0MGALT: step 18 u_x,-1,1,1,0.394439348351
63,j0p0MGALT: step 18 u_y,-1,1,1,-0.7754870655681
64,j0p0MGALT: step 18 u_z,-1,1,1,-0.4929942770644
65,j0p0MGALT: step 19 u_x,-1,1,1,0.4801257657551
66,j0p0MGALT: step 19 u_y,-1,1,1,-0.6781207408586
67,j0p0MGALT: step 19 u_z,-1,1,1,-0.5515508988953
Findex, Description, Lowerbound, Upperbound, Value
0,objective function,-1e+30,1e+30,-0.9237164279184
1,j0p0MGALT: step 0 control magnitude,0,1,0.0003849421359484
2,j0p0MGALT: step 1 control magnitude,0,1,0.0001811328072421
3,j0p0MGALT: step 2 control magnitude,0,1,8.757807661676e-05
4,j0p0MGALT: step 3 control magnitude,0,1,7.573974018323e-05
5,j0p0MGALT: step 4 control magnitude,0,1,5.881232681141e-05
6,j0p0MGALT: step 5 control magnitude,0,1,5.858280613119e-05
7,j0p0MGALT: step 6 control magnitude,0,1,4.781606763077e-05
8,j0p0MGALT: step 7 control magnitude,0,1,0.000118679126902
9,j0p0MGALT: step 8 control magnitude,0,1,0.0001812617682602
10,j0p0MGALT: step 9 control magnitude,0,1,0.5688275447958
11,j0p0MGALT: step 10 control magnitude,0,1,0.9999737450409
12,j0p0MGALT: step 11 control magnitude,0,1,0.9997161748
13,j0p0MGALT: step 12 control magnitude,0,1,0.9998786873986
14,j0p0MGALT: step 13 control magnitude,0,1,1.000000695126
15,j0p0MGALT: step 14 control magnitude,0,1,1.0000008259
16,j0p0MGALT: step 15 control magnitude,0,1,1.000001321332
17,j0p0MGALT: step 16 control magnitude,0,1,1.000002686885
18,j0p0MGALT: step 17 control magnitude,0,1,1.000004175765
19,j0p0MGALT: step 18 control magnitude,0,1,1.0000029728
20,j0p0MGALT: step 19 control magnitude,0,1,0.9972847558229
21,j0p0MGALT: match point x,-1e-13,1e-13,0.0001642107591696
22,j0p0MGALT: match point y,-1e-13,1e-13,0.0003706023418605
23,j0p0MGALT: match point z,-1e-13,1e-13,-0.0001042966231872
24,j0p0MGALT: match point xdot,-1e-13,1e-13,0.001049569276855
25,j0p0MGALT: match point ydot,-1e-13,1e-13,0.002372115827285
