Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0PSBIEphemerisPeggedLaunchDirectInsertion: event left state epoch,4646764800,4733164800,5022642.890913,4694954498.614
1,j0p0PSBIEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,1e-08,3.162277660168,29.78469183259,3.159774086477
2,j0p0PSBIEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-42.98514456372
3,j0p0PSBIEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.4800210642981
4,j0p0PSBI: phase flight time,315621.8600124,43200000,5022642.890913,36226408.98166
5,j0p0PSBIEphemerisPeggedIntercept: event left state mass,1e-13,525.2,525.2,487.0968137476
6,j0p0PSBIEphemerisPeggedIntercept: V_infinity_x,-1,1,29.78469183259,-0.8493954119145
7,j0p0PSBIEphemerisPeggedIntercept: V_infinity_y,-1,1,29.78469183259,0.110876779823
8,j0p0PSBIEphemerisPeggedIntercept: V_infinity_z,-1,1,29.78469183259,0.5165479231969
9,j0p0PSBI: virtual chemical fuel,0,525.2,525.2,0.02476654516945
10,j0p0PSBI: virtual electric propellant,0,525.2,525.2,38.02612997637
11,j0p0PSBI_Step0: left state r,20000000,747989353500,149597870.691,151197025.6363
12,j0p0PSBI_Step0: left state RA,-25.13274122872,25.13274122872,1,-0.4193079627359
13,j0p0PSBI_Step0: left state DEC,-1.570796326795,1.570796326795,1,-0.1762288748361
14,j0p0PSBI_Step0: left state v,0,297.8469183259,29.78469183259,32.6501749551
15,j0p0PSBI_Step0: left state vRA,-25.13274122872,25.13274122872,1,13.65164376005
16,j0p0PSBI_Step0: left state vDEC,-25.13274122872,25.13274122872,1,0.3811918228479
17,j0p0PSBI_Step0: left state mass,1e-13,525.2,525.2,525.1864956876
18,j0p0PSBI_Step0: virtual chemical fuel,0,525.2,525.2,0.01175522704754
19,j0p0PSBI_Step0: virtual electric propellant,0,525.2,525.2,0.009247704560051
20,j0p0PSBI_Step0: substep0 u_x,-1,1,1,-0.3563835956534
21,j0p0PSBI_Step0: substep0 u_y,-1,1,1,-0.2337223848635
22,j0p0PSBI_Step0: substep0 u_z,-1,1,1,-0.03896963457521
23,j0p0PSBI_Step1: left state r,20000000,747989353500,149597870.691,152904052.7116
24,j0p0PSBI_Step1: left state RA,-25.13274122872,25.13274122872,1,-0.06138462437053
25,j0p0PSBI_Step1: left state DEC,-1.570796326795,1.570796326795,1,-0.02209100810606
26,j0p0PSBI_Step1: left state v,0,297.8469183259,29.78469183259,32.29731664404
27,j0p0PSBI_Step1: left state vRA,-25.13274122872,25.13274122872,1,14.00146721902
28,j0p0PSBI_Step1: left state vDEC,-25.13274122872,25.13274122872,1,6.70350746153
29,j0p0PSBI_Step1: left state mass,1e-13,525.2,525.2,523.0550926112
30,j0p0PSBI_Step1: virtual chemical fuel,0,525.2,525.2,0.01917917664652
31,j0p0PSBI_Step1: virtual electric propellant,0,525.2,525.2,2.136464767211
32,j0p0PSBI_Step1: substep0 u_x,-1,1,1,-0.3563822680173
33,j0p0PSBI_Step1: substep0 u_y,-1,1,1,-0.2337146052941
34,j0p0PSBI_Step1: substep0 u_z,-1,1,1,-0.03896641598798
35,j0p0PSBI_Step2: left state r,20000000,747989353500,149597870.691,158034275.3772
36,j0p0PSBI_Step2: left state RA,-25.13274122872,25.13274122872,1,0.278087975782
37,j0p0PSBI_Step2: left state DEC,-1.570796326795,1.570796326795,1,0.1278627290423
38,j0p0PSBI_Step2: left state v,0,297.8469183259,29.78469183259,31.38771070145
39,j0p0PSBI_Step2: left state vRA,-25.13274122872,25.13274122872,1,-20.21040953645
40,j0p0PSBI_Step2: left state vDEC,-25.13274122872,25.13274122872,1,-9.839076965737
41,j0p0PSBI_Step2: left state mass,1e-13,525.2,525.2,520.9253712492
42,j0p0PSBI_Step2: virtual chemical fuel,0,525.2,525.2,0.02109309609504
43,j0p0PSBI_Step2: virtual electric propellant,0,525.2,525.2,4.261241554068
44,j0p0PSBI_Step2: substep0 u_x,-1,1,1,-0.3563842162135
45,j0p0PSBI_Step2: substep0 u_y,-1,1,1,-0.2337160272889
46,j0p0PSBI_Step2: substep0 u_z,-1,1,1,-0.03896528005273
47,j0p0PSBI_Step3: left state r,20000000,747989353500,149597870.691,165671407.7619
