Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4696367225.133
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,3.094391330825
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.83085607456
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.3114785797033
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,31853797.62786
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,3150.364649463
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,0.01710386038815
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,1.770816553716
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,1.680199404152
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,0
10,j0p0MGALT: virtual electric propellant,0,5000,5000,65.74364708925
11,j0p0MGALT: step 0 u_x,-1,1,1,0.003828667980158
12,j0p0MGALT: step 0 u_y,-1,1,1,0.9466423241629
13,j0p0MGALT: step 0 u_z,-1,1,1,0.3222633514991
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.2453538634884
15,j0p0MGALT: step 1 u_y,-1,1,1,0.9042257133615
16,j0p0MGALT: step 1 u_z,-1,1,1,0.3495387640566
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.4676492985795
18,j0p0MGALT: step 2 u_y,-1,1,1,0.8089943680176
19,j0p0MGALT: step 2 u_z,-1,1,1,0.3561351552698
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.6482788621707
21,j0p0MGALT: step 3 u_y,-1,1,1,0.6758681782163
22,j0p0MGALT: step 3 u_z,-1,1,1,0.3506233357659
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.7830912866299
24,j0p0MGALT: step 4 u_y,-1,1,1,0.5208538945437
25,j0p0MGALT: step 4 u_z,-1,1,1,0.3398223940611
26,j0p0MGALT: step 5 u_x,-1,1,1,-0.8724562303988
27,j0p0MGALT: step 5 u_y,-1,1,1,0.3608644565421
28,j0p0MGALT: step 5 u_z,-1,1,1,0.3295405465866
29,j0p0MGALT: step 6 u_x,-1,1,1,-0.9234859151096
30,j0p0MGALT: step 6 u_y,-1,1,1,0.2057179244621
31,j0p0MGALT: step 6 u_z,-1,1,1,0.3238115212882
32,j0p0MGALT: step 7 u_x,-1,1,1,-0.9426691187854
33,j0p0MGALT: step 7 u_y,-1,1,1,0.06458194509367
34,j0p0MGALT: step 7 u_z,-1,1,1,0.3274203794935
35,j0p0MGALT: step 8 u_x,-1,1,1,-0.9406324758379
36,j0p0MGALT: step 8 u_y,-1,1,1,-0.06962763059769
37,j0p0MGALT: step 8 u_z,-1,1,1,0.3322085777927
38,j0p0MGALT: step 9 u_x,-1,1,1,-0.9212899140894
39,j0p0MGALT: step 9 u_y,-1,1,1,-0.1796160727655
40,j0p0MGALT: step 9 u_z,-1,1,1,0.3449100764205
41,j0p0MGALT: step 10 u_x,-1,1,1,-0.8875735272381
42,j0p0MGALT: step 10 u_y,-1,1,1,-0.2790527536936
43,j0p0MGALT: step 10 u_z,-1,1,1,0.366528027046
