Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4696362326.795
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,3.094376636828
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.83129358048
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.3103741530627
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,31835843.26708
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,3150.350118752
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,0.01690877588947
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,1.766891563329
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,1.679396165981
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,2.490508062958e-05
10,j0p0MGALT: virtual electric propellant,0,5000,5000,65.76457618043
11,j0p0MGALT: step 0 u_x,-1,1,1,0.00433160136629
12,j0p0MGALT: step 0 u_y,-1,1,1,0.9441778583093
13,j0p0MGALT: step 0 u_z,-1,1,1,0.3294291035574
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.244960265959
15,j0p0MGALT: step 1 u_y,-1,1,1,0.9037703051341
16,j0p0MGALT: step 1 u_z,-1,1,1,0.3509863009369
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.4677244570907
18,j0p0MGALT: step 2 u_y,-1,1,1,0.8086172475502
19,j0p0MGALT: step 2 u_z,-1,1,1,0.3568889269269
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.6489373588103
21,j0p0MGALT: step 3 u_y,-1,1,1,0.6749669667423
22,j0p0MGALT: step 3 u_z,-1,1,1,0.35113590279
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.7828951454026
24,j0p0MGALT: step 4 u_y,-1,1,1,0.5207302764903
25,j0p0MGALT: step 4 u_z,-1,1,1,0.3404559930111
