Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4639766400.093
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,5.230991363217
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.10835113363
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.5950110548448
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,43200000.11321
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,2094.361288073
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-5.367439351019
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,4.492294305422
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,1.937154368774
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,1.666694276966e-05
10,j0p0MGALT: virtual electric propellant,0,5000,5000,0.003519613322795
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.0001870174846992
12,j0p0MGALT: step 0 u_y,-1,1,1,-0.0004388541066761
13,j0p0MGALT: step 0 u_z,-1,1,1,-0.0005187494914372
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.000542469746063
15,j0p0MGALT: step 1 u_y,-1,1,1,-0.0005220411775975
16,j0p0MGALT: step 1 u_z,-1,1,1,-0.001159386530897
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.0003803837536237
18,j0p0MGALT: step 2 u_y,-1,1,1,-0.0001565142455425
19,j0p0MGALT: step 2 u_z,-1,1,1,-0.001066368874495
20,j0p0MGALT: step 3 u_x,-1,1,1,0.0004205070679935
21,j0p0MGALT: step 3 u_y,-1,1,1,3.978052436593e-05
22,j0p0MGALT: step 3 u_z,-1,1,1,-1.693352496612e-05
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.0007431266841298
24,j0p0MGALT: step 4 u_y,-1,1,1,0.0003633076788001
25,j0p0MGALT: step 4 u_z,-1,1,1,3.943658671846e-06
26,j0p0MGALT: step 5 u_x,-1,1,1,2.696368009203e-05
27,j0p0MGALT: step 5 u_y,-1,1,1,-0.0003908348129329
28,j0p0MGALT: step 5 u_z,-1,1,1,-0.0007499329876448
29,j0p0MGALT: step 6 u_x,-1,1,1,-0.0003524293919586
30,j0p0MGALT: step 6 u_y,-1,1,1,0.0001616404745808
31,j0p0MGALT: step 6 u_z,-1,1,1,0.0007295592683634
32,j0p0MGALT: step 7 u_x,-1,1,1,0.000531951591882
33,j0p0MGALT: step 7 u_y,-1,1,1,0.001012300798581
34,j0p0MGALT: step 7 u_z,-1,1,1,0.0004902255217258
35,j0p0MGALT: step 8 u_x,-1,1,1,-0.0005029278739043
36,j0p0MGALT: step 8 u_y,-1,1,1,-0.0001247357598008
37,j0p0MGALT: step 8 u_z,-1,1,1,0.0002910059306902
38,j0p0MGALT: step 9 u_x,-1,1,1,0.0001852381177787
39,j0p0MGALT: step 9 u_y,-1,1,1,0.000114850485486
40,j0p0MGALT: step 9 u_z,-1,1,1,0.000150510919315
