Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4639766406.504
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,5.230934006923
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.10833825243
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.5950007481252
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,43199985.91413
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,2094.333532871
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-5.367506415992
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,4.492330674829
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,1.937177592176
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,1.666691651883e-05
10,j0p0MGALT: virtual electric propellant,0,5000,5000,0.06458143788684
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.01028944769679
12,j0p0MGALT: step 0 u_y,-1,1,1,0.004813394206999
13,j0p0MGALT: step 0 u_z,-1,1,1,0.009145835035864
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.0004275942512761
15,j0p0MGALT: step 1 u_y,-1,1,1,0.000866242024705
16,j0p0MGALT: step 1 u_z,-1,1,1,0.002896480662059
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.001182582996575
18,j0p0MGALT: step 2 u_y,-1,1,1,0.0007512428859624
19,j0p0MGALT: step 2 u_z,-1,1,1,0.00110069308846
20,j0p0MGALT: step 3 u_x,-1,1,1,-9.123507014508e-05
21,j0p0MGALT: step 3 u_y,-1,1,1,0.002365290764195
