Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4639766400
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,4.747564064314
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-47.98757362584
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.5522193148881
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,43200000
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,2267.807033456
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-5.765109166773
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,4.666920946555
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,2.088047594448
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,49.9999999995
10,j0p0MGALT: virtual electric propellant,0,5000,5000,54.29437018893
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.6062264838176
12,j0p0MGALT: step 0 u_y,-1,1,1,0.6292031809556
13,j0p0MGALT: step 0 u_z,-1,1,1,0.4864080942446
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.5868289263164
15,j0p0MGALT: step 1 u_y,-1,1,1,0.6681074000284
16,j0p0MGALT: step 1 u_z,-1,1,1,0.4574541653433
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.3727144792939
18,j0p0MGALT: step 2 u_y,-1,1,1,0.8566861265297
19,j0p0MGALT: step 2 u_z,-1,1,1,0.3566129545228
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.204312706764
21,j0p0MGALT: step 3 u_y,-1,1,1,0.9535163160736
22,j0p0MGALT: step 3 u_z,-1,1,1,0.2215015876889
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.1565340279145
24,j0p0MGALT: step 4 u_y,-1,1,1,0.9799003401764
25,j0p0MGALT: step 4 u_z,-1,1,1,0.123662536196
26,j0p0MGALT: step 5 u_x,-1,1,1,-0.155095767304
27,j0p0MGALT: step 5 u_y,-1,1,1,0.9863268035907
28,j0p0MGALT: step 5 u_z,-1,1,1,0.05572018918569
29,j0p0MGALT: step 6 u_x,-1,1,1,-0.1572362012408
30,j0p0MGALT: step 6 u_y,-1,1,1,0.9875604577563
31,j0p0MGALT: step 6 u_z,-1,1,1,0.001059368507893
32,j0p0MGALT: step 7 u_x,-1,1,1,-0.1939748267147
33,j0p0MGALT: step 7 u_y,-1,1,1,0.9799285403078
