Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4639766424.247
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,4.903651510511
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.03324129663
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.5788099432529
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,43199945.66526
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,2247.708320264
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-5.566777774634
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,4.590106111096
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,2.00486845802
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,1.666491467042e-05
10,j0p0MGALT: virtual electric propellant,0,5000,5000,35.57840989387
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.5524443870862
12,j0p0MGALT: step 0 u_y,-1,1,1,0.6373233752042
13,j0p0MGALT: step 0 u_z,-1,1,1,0.5372247629916
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.4852956157062
15,j0p0MGALT: step 1 u_y,-1,1,1,0.7253287447042
16,j0p0MGALT: step 1 u_z,-1,1,1,0.4880640297163
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.2648804822064
18,j0p0MGALT: step 2 u_y,-1,1,1,0.8915850948485
19,j0p0MGALT: step 2 u_z,-1,1,1,0.3666524678849
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.08929043601736
21,j0p0MGALT: step 3 u_y,-1,1,1,0.9668725945041
22,j0p0MGALT: step 3 u_z,-1,1,1,0.2378332260361
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.06525869494783
24,j0p0MGALT: step 4 u_y,-1,1,1,0.9872989757155
25,j0p0MGALT: step 4 u_z,-1,1,1,0.1421123341295
26,j0p0MGALT: step 5 u_x,-1,1,1,-0.1038866930517
27,j0p0MGALT: step 5 u_y,-1,1,1,0.9907358811134
28,j0p0MGALT: step 5 u_z,-1,1,1,0.0802494911037
