Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4639766400
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,4.833073264328
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-48.01768184984
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.5687996833907
4,j0p0MGALT: phase flight time,315621.8600124,43200000,5022642.890913,43200000
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,2278.630538742
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-5.655623570528
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,4.626012598587
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,2.034191714613
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,4.9987791684e-10
10,j0p0MGALT: virtual electric propellant,0,5000,5000,44.93557029607
11,j0p0MGALT: step 0 u_x,-1,1,1,-0.5944825058843
12,j0p0MGALT: step 0 u_y,-1,1,1,0.6208999394497
13,j0p0MGALT: step 0 u_z,-1,1,1,0.5109576183348
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.5646431466209
15,j0p0MGALT: step 1 u_y,-1,1,1,0.6817177018207
16,j0p0MGALT: step 1 u_z,-1,1,1,0.4652341877928
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.3643535963628
18,j0p0MGALT: step 2 u_y,-1,1,1,0.8602179253186
19,j0p0MGALT: step 2 u_z,-1,1,1,0.3567557245447
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.1715057614313
21,j0p0MGALT: step 3 u_y,-1,1,1,0.9605886699667
22,j0p0MGALT: step 3 u_z,-1,1,1,0.218760139983
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.1262639842935
24,j0p0MGALT: step 4 u_y,-1,1,1,0.9840681281799
25,j0p0MGALT: step 4 u_z,-1,1,1,0.1251708978306
26,j0p0MGALT: step 5 u_x,-1,1,1,-0.1474725737301
27,j0p0MGALT: step 5 u_y,-1,1,1,0.9872105425056
28,j0p0MGALT: step 5 u_z,-1,1,1,0.06055848280332
29,j0p0MGALT: step 6 u_x,-1,1,1,-0.1823684160537
30,j0p0MGALT: step 6 u_y,-1,1,1,0.9832041180939
31,j0p0MGALT: step 6 u_z,-1,1,1,0.007173342391323
32,j0p0MGALT: step 7 u_x,-1,1,1,-0.2610325792664
33,j0p0MGALT: step 7 u_y,-1,1,1,0.9649020805587
34,j0p0MGALT: step 7 u_z,-1,1,1,-0.02873987289488
35,j0p0MGALT: step 8 u_x,-1,1,1,-0.3489032854315
36,j0p0MGALT: step 8 u_y,-1,1,1,0.9353740737165
37,j0p0MGALT: step 8 u_z,-1,1,1,-0.05780877256602
38,j0p0MGALT: step 9 u_x,-1,1,1,-0.3895722223535
39,j0p0MGALT: step 9 u_y,-1,1,1,0.9155052439117
40,j0p0MGALT: step 9 u_z,-1,1,1,-0.1004172897116
41,j0p0MGALT: step 10 u_x,-1,1,1,-0.4330969641836
42,j0p0MGALT: step 10 u_y,-1,1,1,0.8906562954854
