Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4695053663.17
1,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,3.162277660168,29.78469183259,3.160903423976
2,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,4.620967157827
3,j0p0PSFBEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,1.570792990535
4,j0p0PSFB: phase flight time,315621.8600124,86400000,5022642.890913,20097074.57836
5,j0p0PSFBEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,841.6779489811
6,j0p0PSFBEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,-1.571753078306
7,j0p0PSFBEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,3.831365191475
8,j0p0PSFBEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,-0.2644814687629
9,j0p0PSFB: virtual chemical fuel,0,5000,5000,0.0004878610003936
10,j0p0PSFB: virtual electric propellant,0,5000,5000,35.62376422734
11,j0p0PSFB_Step0: left state r,20000000,747989353500,149597870.691,151064743.9368
12,j0p0PSFB_Step0: left state RA,-25.13274122872,25.13274122872,1,-0.4001267903899
13,j0p0PSFB_Step0: left state DEC,-1.570796326795,1.570796326795,1,-0.1721530718106
14,j0p0PSFB_Step0: left state v,0,297.8469183259,29.78469183259,32.54221909515
15,j0p0PSFB_Step0: left state vRA,-25.13274122872,25.13274122872,1,1.141493549547
16,j0p0PSFB_Step0: left state vDEC,-25.13274122872,25.13274122872,1,0.4875304491901
17,j0p0PSFB_Step0: left state mass,1e-13,5000,5000,877.3017153155
18,j0p0PSFB_Step0: virtual chemical fuel,0,5000,5000,0.000281521762292
19,j0p0PSFB_Step0: virtual electric propellant,0,5000,5000,0.000262441844049
20,j0p0PSFB_Step0: substep0 u_x,-1,1,1,0.6302970978119
21,j0p0PSFB_Step0: substep0 u_y,-1,1,1,0.581342413087
22,j0p0PSFB_Step0: substep0 u_z,-1,1,1,0.3659580872173
23,j0p0PSFB_Step1: left state r,20000000,747989353500,149597870.691,149982170.7376
24,j0p0PSFB_Step1: left state RA,-25.13274122872,25.13274122872,1,-0.2059665719303
25,j0p0PSFB_Step1: left state DEC,-1.570796326795,1.570796326795,1,-0.06634805181056
26,j0p0PSFB_Step1: left state v,0,297.8469183259,29.78469183259,32.84244315425
27,j0p0PSFB_Step1: left state vRA,-25.13274122872,25.13274122872,1,1.342384594078
28,j0p0PSFB_Step1: left state vDEC,-25.13274122872,25.13274122872,1,0.5062833549785
29,j0p0PSFB_Step1: left state mass,1e-13,5000,5000,874.6798954683
30,j0p0PSFB_Step1: virtual chemical fuel,0,5000,5000,0.0003011353186302
31,j0p0PSFB_Step1: virtual electric propellant,0,5000,5000,2.622058269759
32,j0p0PSFB_Step1: substep0 u_x,-1,1,1,0.4496024696787
33,j0p0PSFB_Step1: substep0 u_y,-1,1,1,0.6585456396272
34,j0p0PSFB_Step1: substep0 u_z,-1,1,1,0.4381513513106
35,j0p0PSFB_Step2: left state r,20000000,747989353500,149597870.691,150253421.315
36,j0p0PSFB_Step2: left state RA,-25.13274122872,25.13274122872,1,-0.01304768163435
37,j0p0PSFB_Step2: left state DEC,-1.570796326795,1.570796326795,1,0.04240913967888
38,j0p0PSFB_Step2: left state v,0,297.8469183259,29.78469183259,32.91135859551
39,j0p0PSFB_Step2: left state vRA,-25.13274122872,25.13274122872,1,1.546786715136
40,j0p0PSFB_Step2: left state vDEC,-25.13274122872,25.13274122872,1,0.5080085299636
41,j0p0PSFB_Step2: left state mass,1e-13,5000,5000,872.1271827592
42,j0p0PSFB_Step2: virtual chemical fuel,0,5000,5000,0.0003197593284944
43,j0p0PSFB_Step2: virtual electric propellant,0,5000,5000,5.174746926976
44,j0p0PSFB_Step2: substep0 u_x,-1,1,1,0.2834446530167
45,j0p0PSFB_Step2: substep0 u_y,-1,1,1,0.685181061508
46,j0p0PSFB_Step2: substep0 u_z,-1,1,1,0.5227988963666
47,j0p0PSFB_Step3: left state r,20000000,747989353500,149597870.691,151921917.0739
48,j0p0PSFB_Step3: left state RA,-25.13274122872,25.13274122872,1,0.1797993790292
49,j0p0PSFB_Step3: left state DEC,-1.570796326795,1.570796326795,1,0.147920814459
