Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4639766400,4726166400,5022642.890913,4647757036.259
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,7,29.78469183259,5.301920032382
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-36.62505580164
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.04544844045509
4,j0p0MGALT: phase flight time,71235.96330042,43200000,5022642.890913,42531956.92952
5,j0p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,5000,5000,1709.102884944
6,j0p0MGALTEphemerisPeggedIntercept: V_infinity_x,-10,10,29.78469183259,7.062189480409
7,j0p0MGALTEphemerisPeggedIntercept: V_infinity_y,-10,10,29.78469183259,3.513101417822
8,j0p0MGALTEphemerisPeggedIntercept: V_infinity_z,-10,10,29.78469183259,6.14683643681
9,j0p0MGALT: virtual chemical fuel,0,5000,5000,0
10,j0p0MGALT: virtual electric propellant,0,5000,5000,343.9718263425
11,j0p0MGALT: step 0 u_x,-1,1,1,0.2163299020995
12,j0p0MGALT: step 0 u_y,-1,1,1,0.9723733561977
13,j0p0MGALT: step 0 u_z,-1,1,1,-0.08770148513434
14,j0p0MGALT: step 1 u_x,-1,1,1,-0.2555384144181
15,j0p0MGALT: step 1 u_y,-1,1,1,0.9257606864252
16,j0p0MGALT: step 1 u_z,-1,1,1,-0.278692973521
17,j0p0MGALT: step 2 u_x,-1,1,1,-0.6322957327203
18,j0p0MGALT: step 2 u_y,-1,1,1,0.67116044443
19,j0p0MGALT: step 2 u_z,-1,1,1,-0.3869708809347
20,j0p0MGALT: step 3 u_x,-1,1,1,-0.8938138489162
21,j0p0MGALT: step 3 u_y,-1,1,1,0.1329401587191
22,j0p0MGALT: step 3 u_z,-1,1,1,-0.4282808170234
23,j0p0MGALT: step 4 u_x,-1,1,1,-0.6063754897392
24,j0p0MGALT: step 4 u_y,-1,1,1,-0.688493290706
25,j0p0MGALT: step 4 u_z,-1,1,1,-0.3978518607543
26,j0p0MGALT: step 5 u_x,-1,1,1,0.2919671577248
27,j0p0MGALT: step 5 u_y,-1,1,1,-0.9460619439215
28,j0p0MGALT: step 5 u_z,-1,1,1,-0.1404354736633
29,j0p0MGALT: step 6 u_x,-1,1,1,0.7840897240262
30,j0p0MGALT: step 6 u_y,-1,1,1,-0.5913986959487
31,j0p0MGALT: step 6 u_z,-1,1,1,0.188285265501
32,j0p0MGALT: step 7 u_x,-1,1,1,0.938108237721
33,j0p0MGALT: step 7 u_y,-1,1,1,-0.1058762592901
34,j0p0MGALT: step 7 u_z,-1,1,1,0.3297624723321
35,j0p0MGALT: step 8 u_x,-1,1,1,0.8173486634365
36,j0p0MGALT: step 8 u_y,-1,1,1,0.5559066786943
37,j0p0MGALT: step 8 u_z,-1,1,1,0.1513581959437
38,j0p0MGALT: step 9 u_x,-1,1,1,0.251521091234
39,j0p0MGALT: step 9 u_y,-1,1,1,0.9256658936101
40,j0p0MGALT: step 9 u_z,-1,1,1,-0.2826312385118
41,j0p0MGALT: step 10 u_x,-1,1,1,-0.2171250971568
42,j0p0MGALT: step 10 u_y,-1,1,1,0.8345613450287
