case_id,source_options,classification,status,prepared_options,output_file,comparison_file,log_file,compatibility_file,return_code,duration_seconds,objective_value,worst_violation,worst_constraint,detail
global_mission_options/globalmissionoptions_MGALT_DLAbounds,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_DLAbounds.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_DLAbounds/globalmissionoptions_MGALT_DLAbounds.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_DLAbounds/FAILURE_globalmissionoptions_MGALT_DLAbounds.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_DLAbounds/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_DLAbounds/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_DLAbounds/compatibility.json,0,0.779506,-0.8647597929727302,3.158155137406e-08,F[3]: j0p0MGALT: step 2 control magnitude,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_RLAbounds,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_RLAbounds.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_RLAbounds/globalmissionoptions_MGALT_RLAbounds.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_RLAbounds/FAILURE_globalmissionoptions_MGALT_RLAbounds.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_RLAbounds/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_RLAbounds/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_RLAbounds/compatibility.json,0,1.0432302079999998,-0.8647597929727302,3.158155137406e-08,F[3]: j0p0MGALT: step 2 control magnitude,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_constrDryMass,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_constrDryMass.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrDryMass/globalmissionoptions_MGALT_constrDryMass.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrDryMass/FAILURE_globalmissionoptions_MGALT_constrDryMass.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrDryMass/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrDryMass/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrDryMass/compatibility.json,0,0.6277336670000002,-0.8647606327266392,-6.3373549096e-10,F[22]: j0p0MGALT: match point y,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_constrFinalMass,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_constrFinalMass.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrFinalMass/globalmissionoptions_MGALT_constrFinalMass.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrFinalMass/FAILURE_globalmissionoptions_MGALT_constrFinalMass.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrFinalMass/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrFinalMass/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_constrFinalMass/compatibility.json,0,0.6261349169999999,-0.8647606327266392,-6.3373549096e-10,F[22]: j0p0MGALT: match point y,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse/globalmissionoptions_MGALT_includeInitialImpulse.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse/FAILURE_globalmissionoptions_MGALT_includeInitialImpulse.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_includeInitialImpulse/compatibility.json,0,0.6203302079999995,-0.8647838718358525,-6.24745494156298e-06,F[21]: j0p0MGALT: match point x,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_numtimesteps,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_numtimesteps.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_numtimesteps/globalmissionoptions_MGALT_numtimesteps.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_numtimesteps/FAILURE_globalmissionoptions_MGALT_numtimesteps.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_numtimesteps/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_numtimesteps/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_numtimesteps/compatibility.json,0,0.6273692500000001,-0.8666082570216379,4.82662052525562e-06,F[9]: j0p0MGALT: step 8 control magnitude,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_obj0,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_obj0.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj0/globalmissionoptions_MGALT_obj0.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj0/FAILURE_globalmissionoptions_MGALT_obj0.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj0/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj0/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj0/compatibility.json,0,0.7269870000000003,4.985412156589522,9.9069833455996e-06,F[28]: j0p0MGALT: match point mass,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_obj1,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_obj1.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj1/globalmissionoptions_MGALT_obj1.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj1/FAILURE_globalmissionoptions_MGALT_obj1.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj1/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj1/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj1/compatibility.json,0,0.8397518340000003,0.6930579928784876,9.9069833455996e-06,F[28]: j0p0MGALT: match point mass,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_obj14,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_obj14.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj14/globalmissionoptions_MGALT_obj14.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj14/globalmissionoptions_MGALT_obj14.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj14/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj14/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj14/compatibility.json,0,0.8232822510000002,-4.721498182373907,5.6360822317252e-06,F[28]: j0p0MGALT: match point mass,Ready for human review; not a promoted baseline
global_mission_options/globalmissionoptions_MGALT_obj15,/repo/testatron/tests/global_mission_options/globalmissionoptions_MGALT_obj15.emtgopt,reviewable,unreviewed,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj15/globalmissionoptions_MGALT_obj15.emtgopt,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj15/globalmissionoptions_MGALT_obj15.emtg,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj15/comparison.csv,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj15/run.log,/artifacts/cases/global_mission_options/globalmissionoptions_MGALT_obj15/compatibility.json,0,0.6757424580000002,-10.87165133133264,5.6360822317252e-06,F[28]: j0p0MGALT: match point mass,Ready for human review; not a promoted baseline
