Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4989736086.678
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,3.640127821578
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,4.287119386214
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-0.1125750223596
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,0.1775607250776
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,81579219.18309
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,1052.459905342
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,1391.409550413
8,j0p0MGALT: virtual electric propellant,0,10000,10000,5148.497087278
9,j0p0MGALT: step 0 u_x,-1,1,1,0.8598936499727
10,j0p0MGALT: step 0 u_y,-1,1,1,0.9498595366673
11,j0p0MGALT: step 0 u_z,-1,1,1,-0.06022820017728
12,j0p0MGALT: step 1 u_x,-1,1,1,0.8144311965424
13,j0p0MGALT: step 1 u_y,-1,1,1,-0.9369383515577
14,j0p0MGALT: step 1 u_z,-1,1,1,-0.001333784579088
15,j0p0MGALT: step 2 u_x,-1,1,1,-0.9362148891821
16,j0p0MGALT: step 2 u_y,-1,1,1,-0.8025918455077
17,j0p0MGALT: step 2 u_z,-1,1,1,-0.2083878895853
18,j0p0MGALT: step 3 u_x,-1,1,1,-0.1970957235333
19,j0p0MGALT: step 3 u_y,-1,1,1,-0.5130267797972
20,j0p0MGALT: step 3 u_z,-1,1,1,-0.2571233080198
21,j0p0MGALT: step 4 u_x,-1,1,1,0.5489626343525
22,j0p0MGALT: step 4 u_y,-1,1,1,0.5067388525961
23,j0p0MGALT: step 4 u_z,-1,1,1,-0.2526851070322
24,j0p0MGALT: step 5 u_x,-1,1,1,0.6351540935093
25,j0p0MGALT: step 5 u_y,-1,1,1,0.5000188199796
26,j0p0MGALT: step 5 u_z,-1,1,1,0.9650473027649
27,j0p0MGALT: step 6 u_x,-1,1,1,0.771251772426
28,j0p0MGALT: step 6 u_y,-1,1,1,0.6049987655199
29,j0p0MGALT: step 6 u_z,-1,1,1,0.1673250688865
30,j0p0MGALT: step 7 u_x,-1,1,1,0.1155927129733
31,j0p0MGALT: step 7 u_y,-1,1,1,-0.6368940977504
32,j0p0MGALT: step 7 u_z,-1,1,1,-0.729426720536
33,j0p0MGALT: step 8 u_x,-1,1,1,0.5539239098977
34,j0p0MGALT: step 8 u_y,-1,1,1,-0.7261187432063
35,j0p0MGALT: step 8 u_z,-1,1,1,-0.3102435341101
36,j0p0MGALT: step 9 u_x,-1,1,1,-0.4521327378143
37,j0p0MGALT: step 9 u_y,-1,1,1,-0.07830687690635
38,j0p0MGALT: step 9 u_z,-1,1,1,-0.09179651454298
39,j0p0MGALT: step 10 u_x,-1,1,1,0.6304978801438
40,j0p0MGALT: step 10 u_y,-1,1,1,-0.7318624261567
41,j0p0MGALT: step 10 u_z,-1,1,1,0.2970634545835
42,j0p0MGALT: step 11 u_x,-1,1,1,-0.09146543148157
43,j0p0MGALT: step 11 u_y,-1,1,1,0.1654805460694
44,j0p0MGALT: step 11 u_z,-1,1,1,0.6119884936005
45,j0p0MGALT: step 12 u_x,-1,1,1,-0.539721390949
46,j0p0MGALT: step 12 u_y,-1,1,1,-0.07999550626094
47,j0p0MGALT: step 12 u_z,-1,1,1,0.30017853386
48,j0p0MGALT: step 13 u_x,-1,1,1,0.04008751152075
49,j0p0MGALT: step 13 u_y,-1,1,1,-0.4215401246619
50,j0p0MGALT: step 13 u_z,-1,1,1,0.1449876465908
51,j0p0MGALT: step 14 u_x,-1,1,1,0.1950351755469
52,j0p0MGALT: step 14 u_y,-1,1,1,-0.2760674484356
