Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4980442499.99
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,1.856144445475
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,41.24232552257
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.8795319042105
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,0.9999997727479
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,74144556.24845
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,2407.32026492
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,3.333383303766e-05
8,j0p0MGALT: virtual electric propellant,0,10000,10000,372.8908912585
9,j0p0MGALT: step 0 u_x,-1,1,1,-0.9145795213968
10,j0p0MGALT: step 0 u_y,-1,1,1,0.06998399752205
11,j0p0MGALT: step 0 u_z,-1,1,1,0.398252020372
12,j0p0MGALT: step 1 u_x,-1,1,1,-0.9526407838496
13,j0p0MGALT: step 1 u_y,-1,1,1,0.08562303399991
14,j0p0MGALT: step 1 u_z,-1,1,1,-0.2916872507775
15,j0p0MGALT: step 2 u_x,-1,1,1,-0.5465882684229
16,j0p0MGALT: step 2 u_y,-1,1,1,0.4347019896802
17,j0p0MGALT: step 2 u_z,-1,1,1,-0.7156925272495
18,j0p0MGALT: step 3 u_x,-1,1,1,-0.4453352457785
19,j0p0MGALT: step 3 u_y,-1,1,1,0.6739509212738
20,j0p0MGALT: step 3 u_z,-1,1,1,-0.5894274986999
21,j0p0MGALT: step 4 u_x,-1,1,1,-0.6355009778167
22,j0p0MGALT: step 4 u_y,-1,1,1,0.660005437642
23,j0p0MGALT: step 4 u_z,-1,1,1,-0.4006111587165
24,j0p0MGALT: step 5 u_x,-1,1,1,-0.8704338711671
25,j0p0MGALT: step 5 u_y,-1,1,1,0.4773550128943
26,j0p0MGALT: step 5 u_z,-1,1,1,-0.120044462283
27,j0p0MGALT: step 6 u_x,-1,1,1,-0.8061094520227
28,j0p0MGALT: step 6 u_y,-1,1,1,0.2284362246599
29,j0p0MGALT: step 6 u_z,-1,1,1,0.5457930922264
30,j0p0MGALT: step 7 u_x,-1,1,1,-0.4016466738237
31,j0p0MGALT: step 7 u_y,-1,1,1,0.2488115175328
32,j0p0MGALT: step 7 u_z,-1,1,1,0.8813213331162
33,j0p0MGALT: step 8 u_x,-1,1,1,-0.5187135692034
34,j0p0MGALT: step 8 u_y,-1,1,1,0.3638816076601
35,j0p0MGALT: step 8 u_z,-1,1,1,0.7736297768794
36,j0p0MGALT: step 9 u_x,-1,1,1,-0.8669138923369
37,j0p0MGALT: step 9 u_y,-1,1,1,0.2454463908136
38,j0p0MGALT: step 9 u_z,-1,1,1,0.4338177128747
39,j0p0MGALT: step 10 u_x,-1,1,1,-0.9913954474334
40,j0p0MGALT: step 10 u_y,-1,1,1,-0.06631377409937
41,j0p0MGALT: step 10 u_z,-1,1,1,-0.1127673266658
42,j0p0MGALT: step 11 u_x,-1,1,1,-0.7348160947854
43,j0p0MGALT: step 11 u_y,-1,1,1,-0.1613694015896
44,j0p0MGALT: step 11 u_z,-1,1,1,-0.6587679303138
45,j0p0MGALT: step 12 u_x,-1,1,1,-0.4161837243433
46,j0p0MGALT: step 12 u_y,-1,1,1,0.09884092143884
47,j0p0MGALT: step 12 u_z,-1,1,1,-0.9038699544365
48,j0p0MGALT: step 13 u_x,-1,1,1,-0.3196933231181
49,j0p0MGALT: step 13 u_y,-1,1,1,0.3899268313119
50,j0p0MGALT: step 13 u_z,-1,1,1,-0.8635369139686
51,j0p0MGALT: step 14 u_x,-1,1,1,-0.3690539243858
52,j0p0MGALT: step 14 u_y,-1,1,1,0.633451248816
