Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4977406022.694
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,4.56884129013
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-21.47597666081
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,1.161606766131
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,0.3325038534664
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,77129405.38662
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,1624.56934923
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,4550.861682684
8,j0p0MGALT: virtual electric propellant,0,10000,10000,1704.395173081
9,j0p0MGALT: step 0 u_x,-1,1,1,0.4609883886213
10,j0p0MGALT: step 0 u_y,-1,1,1,0.986830917484
11,j0p0MGALT: step 0 u_z,-1,1,1,0.8419554968264
12,j0p0MGALT: step 1 u_x,-1,1,1,0.6897593883762
13,j0p0MGALT: step 1 u_y,-1,1,1,-0.5281103311616
14,j0p0MGALT: step 1 u_z,-1,1,1,0.1673106506104
15,j0p0MGALT: step 2 u_x,-1,1,1,-0.4627577730068
16,j0p0MGALT: step 2 u_y,-1,1,1,0.1355339545768
17,j0p0MGALT: step 2 u_z,-1,1,1,0.8603208807693
18,j0p0MGALT: step 3 u_x,-1,1,1,0.2214710524422
19,j0p0MGALT: step 3 u_y,-1,1,1,0.1242315040257
20,j0p0MGALT: step 3 u_z,-1,1,1,0.7440028964859
21,j0p0MGALT: step 4 u_x,-1,1,1,0.2587581736898
22,j0p0MGALT: step 4 u_y,-1,1,1,0.729692403247
23,j0p0MGALT: step 4 u_z,-1,1,1,0.1991012050923
24,j0p0MGALT: step 5 u_x,-1,1,1,-0.5925943416282
25,j0p0MGALT: step 5 u_y,-1,1,1,0.2045040790627
26,j0p0MGALT: step 5 u_z,-1,1,1,0.6974658796313
27,j0p0MGALT: step 6 u_x,-1,1,1,-0.6546330661191
28,j0p0MGALT: step 6 u_y,-1,1,1,-0.128445656468
29,j0p0MGALT: step 6 u_z,-1,1,1,0.6382321591987
30,j0p0MGALT: step 7 u_x,-1,1,1,-0.2356429335018
31,j0p0MGALT: step 7 u_y,-1,1,1,0.00509221746306
32,j0p0MGALT: step 7 u_z,-1,1,1,0.1355503302707
33,j0p0MGALT: step 8 u_x,-1,1,1,0.2482188068026
34,j0p0MGALT: step 8 u_y,-1,1,1,0.4810215125941
35,j0p0MGALT: step 8 u_z,-1,1,1,0.1177265022273
36,j0p0MGALT: step 9 u_x,-1,1,1,-0.6587808840365
37,j0p0MGALT: step 9 u_y,-1,1,1,-0.7141216235741
38,j0p0MGALT: step 9 u_z,-1,1,1,0.9954717510812
39,j0p0MGALT: step 10 u_x,-1,1,1,0.6870410370168
40,j0p0MGALT: step 10 u_y,-1,1,1,0.9898361220385
41,j0p0MGALT: step 10 u_z,-1,1,1,0.9370173894608
42,j0p0MGALT: step 11 u_x,-1,1,1,0.9639646811677
43,j0p0MGALT: step 11 u_y,-1,1,1,-0.9474296507946
44,j0p0MGALT: step 11 u_z,-1,1,1,0.2324456499232
45,j0p0MGALT: step 12 u_x,-1,1,1,0.0600119590781
46,j0p0MGALT: step 12 u_y,-1,1,1,0.7395788586166
47,j0p0MGALT: step 12 u_z,-1,1,1,0.9106782428768
48,j0p0MGALT: step 13 u_x,-1,1,1,-0.8114346282
49,j0p0MGALT: step 13 u_y,-1,1,1,-0.6388014869108
50,j0p0MGALT: step 13 u_z,-1,1,1,0.4427164916045
51,j0p0MGALT: step 14 u_x,-1,1,1,-0.5339649775855
52,j0p0MGALT: step 14 u_y,-1,1,1,0.05695199887497
53,j0p0MGALT: step 14 u_z,-1,1,1,-0.3056193061644
54,j0p0MGALT: step 15 u_x,-1,1,1,0.9768904236803
55,j0p0MGALT: step 15 u_y,-1,1,1,0.04846553886269
56,j0p0MGALT: step 15 u_z,-1,1,1,0.7265371858878
57,j0p0MGALT: step 16 u_x,-1,1,1,0.1466180818469
